country,party,party_id,position,eu_salience,eu_dissent,eu_asylum,eu_budgets,lrgen,lrecon,lrecon_clear,lrecon_salience,galtan,galtan_clear,galtan_salience,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,ethnic_minorities,galtan_new,galtan_new_clear,galtan_new_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership
ge,Grunen,304,strongly in favor,7,2,Strongly favors,Strongly favors,2,4,6,4,1,9,great importance,1,great importance,1,strongly favours multiculturalism,great importance,1,3,0,10,10,6,not important at all,2,3
ge,Grunen,304,in favor,5,2,6,6,2,2,9,2,libertarian/postmaterialist,Completely Clear,great importance,1,8,1,1,9,1,1,1,10,10,7,7,1,6
ge,Grunen,304,strongly in favor,6,2,6,5,3,center,5,5,3,6,,8,6,3,1,7,3,2,9,9,9,6,3,3,4
ge,Grunen,304,strongly in favor,5,1,Strongly favors,4,4,center,6,3,1,8,8,2,8,3,2,9,2,strongly supports more rights for ethnic minorities,1,9,8,7,1,2,4
ge,Grunen,304,strongly in favor,4,3,6,6,3,4,6,6,2,9,8,3,6,7,3,6,6,2,2,7,7,7,2,2,4
ge,Grunen,304,strongly in favor,6,1,Strongly favors,Strongly favors,2,2,4,3,2,8,8,3,7,3,2,9,2,3,3,9,8,8,not important at all,1,2
ge,Grunen,304,in favor,6,5,Strongly favors,5,3,4,5,5,3,8,6,2,4,.d,3,5,.d,2,1,9,10,8,5,.d,2
ge,Grunen,304,,8,2,6,Strongly favors,4,4,,,,,,2,,,,,,,2,9,8,7,5,5,4
ge,Grunen,304,strongly in favor,5,3,Strongly favors,6,3,2,9,7,libertarian/postmaterialist,Completely Clear,great importance,fully opposed to restrictive immigration policy,great importance,3,1,great importance,3,strongly supports more rights for ethnic minorities,0,9,10,8,1,.d,6
ge,Grunen,304,strongly in favor,7,2,Strongly favors,Strongly favors,center,2,9,6,1,Completely Clear,8,1,5,2,2,5,3,1,.d,.d,.d,2,not important at all,.d,7
ge,Grunen,304,in favor,6,4,6,5,3,3,6,6,2,8,8,3,8,3,1,7,2,7,1,9,8,8,5,7,3
ge,Grunen,304,strongly in favor,7,2,6,4,3,3,6,7,2,9,8,3,9,3,2,9,3,3,2,9,8,5,2,1,5
ge,Grunen,304,strongly in favor,8,2,Strongly favors,6,3,4,1,2,1,Completely Clear,great importance,3,9,1,strongly favours multiculturalism,great importance,1,strongly supports more rights for ethnic minorities,0,9,10,8,1,6,2
ge,Linke,306,somewhat opposed,5,4,4,6,1,1,Completely Clear,9,3,3,2,3,2,5,5,3,1,1,2,5,4,9,9,7,3
ge,Linke,306,somewhat in favor,7,3,5,5,2,1,9,8,center,7,6,3,6,6,4,5,3,6,2,7,4,5,5,1,7
ge,Linke,306,somewhat in favor,2,8,6,4,2,1,9,9,4,4,4,5,4,9,5,5,8,4,4,2,5,7,8,2,6
ge,Linke,306,neutral,6,7,6,6,1,1,Completely Clear,8,7,8,5,3,5,4,5,6,3,7,3,6,7,5,3,1,8
ge,Linke,306,neutral,5,4,5,.d,2,extreme left,9,,2,Completely Clear,7,1,5,.d,2,,2,1,.d,.d,.d,2,4,.d,7
ge,Linke,306,somewhat in favor,4,6,Strongly favors,3,1,1,9,great importance,3,4,4,3,8,9,3,7,8,2,3,4,6,7,7,.d,8
ge,Linke,306,opposed,1,4,4,4,1,extreme left,7,7,7,2,3,6,3,party was extremely divided,5,6,party was extremely divided,3,2,5,1,3,2,2,7
ge,Linke,306,somewhat in favor,7,5,5,6,2,2,,,,,,3,,,,,,,2,6,5,7,7,5,4
ge,Linke,306,somewhat in favor,6,4,6,5,1,1,9,8,3,7,5,5,6,9,4,6,8,4,4,6,6,7,7,2,4
ge,Linke,306,somewhat in favor,6,4,6,5,2,2,6,7,3,8,8,2,8,6,1,7,2,7,2,9,8,8,8,8,3
ge,Linke,306,neutral,4,5,6,2,2,2,7,7,2,7,5,3,6,6,3,7,3,2,4,3,5,7,6,5,6
ge,Linke,306,neutral,5,2,5,4,2,2,6,6,center,4,,4,5,6,5,5,6,4,6,6,5,4,6,3,6
ge,Linke,306,somewhat opposed,3,5,Strongly favors,6,1,1,9,8,3,8,8,2,8,7,3,9,2,3,3,9,9,8,8,2,7
ge,Linke,306,somewhat opposed,6,6,5,4,2,1,9,8,3,9,8,2,7,9,2,9,7,3,2,4,7,8,5,2,4
ge,Linke,306,neutral,2,4,4,3,extreme left,extreme left,Completely Clear,9,8,9,3,5,2,.d,.d,great importance,.d,5,6,1,1,.d,extremely important,.d,7
ge,Linke,306,in favor,6,7,Strongly favors,Strongly favors,1,1,9,9,4,7,6,1,9,2,2,9,1,3,2,9,7,6,6,4,7
ge,CSU,308,somewhat in favor,4,4,3,2,6,6,6,5,6,8,7,8,9,2,7,6,1,6,6,9,8,6,not important at all,not important at all,8
ge,CSU,308,neutral,6,4,4,3,7,7,6,7,7,7,,3,7,5,6,9,4,7,3,9,7,2,6,3,8
ge,CSU,308,somewhat in favor,4,6,6,5,8,3,9,6,6,9,9,8,great importance,7,strongly favours assimilation,great importance,5,8,.d,.d,.d,1,4,.d,9
ge,CSU,308,neutral,3,2,3,2,8,7,9,7,8,8,6,9,9,2,9,9,2,9,8,9,8,2,7,not important at all,9
ge,CSU,308,somewhat in favor,4,5,4,6,8,7,7,5,traditional/authoritarian,9,great importance,fully supports restrictive immigration policy,great importance,1,8,great importance,.d,7,8,9,10,2,5,.d,7
ge,CSU,308,in favor,8,2,5,Strogly opposes,7,4,7,8,7,9,8,9,great importance,3,9,great importance,2,9,7,9,9,2,4,1,Leadership controls party choices
ge,CSU,308,somewhat opposed,7,5,3,3,7,center,3,4,8,9,8,7,9,3,8,7,3,5,8,9,5,8,5,not important at all,6
ge,CSU,308,strongly in favor,8,2,6,5,7,7,7,6,6,2,7,6,7,5,9,6,5,5,6,5,7,2,3,2,7
ge,CSU,308,somewhat opposed,6,1,2,2,8,8,9,5,8,9,9,9,9,1,strongly favours assimilation,9,party was completely united,strongly opposes more rights for ethnic minorities,9,10,10,6,not important at all,not important at all,9
ge,CSU,308,neutral,8,2,3,Strogly opposes,8,8,9,5,8,8,7,9,7,2,9,9,2,8,8,9,8,1,1,1,8
ge,CSU,308,somewhat opposed,4,3,3,Strogly opposes,8,7,5,6,7,8,6,7,9,3,9,9,2,2,7,9,8,4,2,not important at all,7
ge,CSU,308,somewhat in favor,6,3,6,2,7,6,9,9,8,9,9,9,great importance,1,strongly favours assimilation,great importance,1,9,9,9,9,7,4,.d,9
ge,CSU,308,neutral,3,1,5,5,7,6,5,2,8,8,8,8,9,2,8,9,2,6,8,9,9,3,1,not important at all,9
ge,CSU,308,in favor,7,2,5,5,6,center,,,,,,6,,,,,,,7,9,6,2,2,,4
ge,CSU,308,somewhat in favor,6,3,6,2,8,7,4,7,8,8,9,9,9,1,strongly favours assimilation,9,party was completely united,9,9,,9,2,7,not important at all,9
ge,CSU,308,neutral,6,7,4,3,8,center,9,7,7,7,8,8,8,3,7,9,2,4,7,9,8,5,7,3,7
ge,AfD,310,somewhat opposed,8,party was completely united,2,Strogly opposes,extreme right,8,9,6,traditional/authoritarian,Completely Clear,great importance,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,great importance,1,strongly opposes more rights for ethnic minorities,10,10,10,2,8,1,9
ge,AfD,310,strongly opposed,7,2,Strogly opposes,Strogly opposes,9,9,3,4,9,8,,1,great importance,1,9,9,1,9,1,9,9,6,extremely important,3,8
ge,AfD,310,strongly opposed,6,4,Strogly opposes,Strogly opposes,9,9,Not clear,no importance,traditional/authoritarian,9,9,fully supports restrictive immigration policy,great importance,2,strongly favours assimilation,9,1,9,10,9,10,8,extremely important,not important at all,4
ge,AfD,310,strongly opposed,great importance,1,Strogly opposes,Strogly opposes,9,8,5,7,traditional/authoritarian,9,great importance,fully supports restrictive immigration policy,great importance,1,strongly favours assimilation,great importance,1,strongly opposes more rights for ethnic minorities,10,10,10,The people make decisions,extremely important,.d,6
ge,AfD,310,opposed,4,1,Strogly opposes,2,9,7,1,1,9,9,9,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,9,1,strongly opposes more rights for ethnic minorities,10,10,10,8,extremely important,7,4
ge,AfD,310,opposed,6,1,Strogly opposes,Strogly opposes,9,8,3,3,9,9,8,fully supports restrictive immigration policy,great importance,1,strongly favours assimilation,great importance,1,strongly opposes more rights for ethnic minorities,9,9,9,7,9,1,8
ge,AfD,310,opposed,7,1,Strogly opposes,Strogly opposes,9,6,6,4,9,9,great importance,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,great importance,party was completely united,strongly opposes more rights for ethnic minorities,10,10,10,The people make decisions,extremely important,5,Leadership controls party choices
ge,AfD,310,opposed,6,party was completely united,5,Strogly opposes,extreme right,7,2,1,traditional/authoritarian,Completely Clear,great importance,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,great importance,party was completely united,strongly opposes more rights for ethnic minorities,10,10,10,9,extremely important,extremely important,2
ge,AfD,310,opposed,7,2,Strogly opposes,2,9,7,4,3,9,9,9,fully supports restrictive immigration policy,great importance,1,strongly favours assimilation,great importance,1,1,9,10,10,9,extremely important,7,4
ge,AfD,310,opposed,8,2,Strogly opposes,Strogly opposes,9,7,3,3,9,9,great importance,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,no importance,party was completely united,strongly opposes more rights for ethnic minorities,8,10,10,9,extremely important,7,5
ge,AfD,310,opposed,7,2,2,Strogly opposes,9,6,5,6,9,9,8,fully supports restrictive immigration policy,great importance,1,strongly favours assimilation,great importance,1,strongly opposes more rights for ethnic minorities,9,9,10,9,extremely important,6,9
ge,AfD,310,somewhat opposed,8,5,2,2,9,8,,,,,,9,,,,,,,8,7,8,8,9,7,4
ge,AfD,310,opposed,6,5,2,2,9,.d,3,3,traditional/authoritarian,Completely Clear,great importance,fully supports restrictive immigration policy,great importance,2,strongly favours assimilation,great importance,3,strongly opposes more rights for ethnic minorities,.d,.d,.d,6,extremely important,.d,5
ge,AfD,310,opposed,7,3,Strogly opposes,2,extreme right,7,4,2,traditional/authoritarian,9,great importance,fully supports restrictive immigration policy,great importance,party was completely united,9,great importance,.d,strongly opposes more rights for ethnic minorities,10,10,10,8,extremely important,.d,8
ge,AfD,310,strongly opposed,8,1,Strogly opposes,Strogly opposes,9,8,3,5,traditional/authoritarian,4,7,9,9,1,strongly favours assimilation,9,3,1,9,9,10,3,9,3,8
ge,AfD,310,strongly opposed,9,2,Strogly opposes,Strogly opposes,9,8,2,2,9,Completely Clear,great importance,fully supports restrictive immigration policy,great importance,1,strongly favours assimilation,great importance,1,9,9,9,10,The people make decisions,extremely important,8,6
ge,LKR,350,somewhat opposed,great importance,1,2,Strogly opposes,7,extreme right,Completely Clear,9,8,7,5,8,5,party was completely united,8,5,5,6,8,6,5,9,7,8,9
ge,LKR,350,.d,,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,LKR,350,.d,great importance,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,LKR,350,,,,,,,,,4,,,,,,,,,,,,,,,,,
ge,LKR,350,.d,5,.d,,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,,.d,.d
ge,LKR,350,.d,,,,,,,,,,,,,,,,,.d,,.d,.d,,.d,,.d,
ge,LKR,350,opposed,great importance,1,2,Strogly opposes,8,extreme right,7,great importance,9,3,8,9,9,.d,strongly favours assimilation,great importance,.d,.d,9,.d,.d,.d,9,.d,.d
ge,LKR,350,somewhat opposed,6,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,LKR,350,.d,great importance,.d,.d,.d,.d,.d,.d,no importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,LKR,350,.d,9,.d,.d,.d,.d,,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,LKR,350,.d,great importance,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,LKR,350,somewhat opposed,8,1,2,Strogly opposes,9,8,9,6,traditional/authoritarian,Completely Clear,great importance,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,great importance,1,strongly opposes more rights for ethnic minorities,10,10,10,2,8,1,9
ge,LKR,350,somewhat opposed,7,.d,4,2,7,8,,,,,,7,,,,,,,7,.d,.d,.d,8,.d,
ge,LKR,350,.d,great importance,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,LKR,350,,,,,,,,,,,,,,,,,,,,,,,,,,
ge,LKR,350,.d,great importance,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,BLAU,351,opposed,8,2,Strogly opposes,Strogly opposes,9,7,3,3,9,9,great importance,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,no importance,party was completely united,strongly opposes more rights for ethnic minorities,8,10,10,.d,.d,.d,.d
ge,BLAU,351,somewhat opposed,8,1,2,,9,8,9,6,traditional/authoritarian,Completely Clear,great importance,fully supports restrictive immigration policy,great importance,party was completely united,strongly favours assimilation,great importance,1,strongly opposes more rights for ethnic minorities,10,10,10,2,8,1,9
ge,BLAU,351,.d,,,,,,,,,,,,,,,,,.d,,.d,.d,,.d,,.d,
ge,BLAU,351,,,,,,,,,,,,,,,,,,,,,,,,,,
ge,BLAU,351,.d,great importance,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,BLAU,351,opposed,9,.d,Strogly opposes,Strogly opposes,8,.d,Not clear,8,9,2,.d,fully supports restrictive immigration policy,.d,.d,strongly favours assimilation,great importance,.d,.d,.d,.d,.d,.d,extremely important,.d,.d
ge,BLAU,351,.d,great importance,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,BLAU,351,,,,,,,,,,,,,,,,,,,,,,,,,,
ge,BLAU,351,opposed,8,party was completely united,Strogly opposes,Strogly opposes,8,extreme right,7,6,8,9,8,9,9,party was completely united,9,9,party was completely united,8,8,10,9,9,7,8,Leadership controls party choices
ge,BLAU,351,somewhat opposed,7,.d,2,2,8,8,,,,,,8,,,,,,,8,.d,.d,.d,9,.d,
ge,BLAU,351,.d,,.d,.d,.d,.d,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,BLAU,351,.d,8,.d,.d,.d,.d,,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d
ge,BLAU,351,.d,great importance,.d,.d,.d,8,.d,.d,great importance,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,8,.d,.d,.d,.d,.d,.d
ge,BLAU,351,.d,5,.d,,.d,8,.d,.d,great importance,.d,.d,.d,fully supports restrictive immigration policy,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,,.d,.d
ge,BLAU,351,strongly opposed,6,4,Strogly opposes,Strogly opposes,9,9,Not clear,no importance,traditional/authoritarian,.d,.d,fully supports restrictive immigration policy,great importance,2,strongly favours assimilation,9,1,9,10,9,10,8,extremely important,not important at all,.d
ge,BLAU,351,opposed,6,1,2,Strogly opposes,9,8,3,3,8,8,8,fully supports restrictive immigration policy,great importance,1,strongly favours assimilation,great importance,1,strongly opposes more rights for ethnic minorities,9,9,9,7,9,1,8
gr,PASOK,401,in favor,5,3,Strongly favors,5,3,4,4,7,center,4,4,6,4,2,3,4,,4,4,3,,3,3,4,8
gr,PASOK,401,in favor,great importance,party was completely united,5,Strongly favors,center,8,9,great importance,7,2,2,4,2,7,7,3,4,2,,2,8,Elected officials make decisions,1,extremely important,Leadership controls party choices
gr,PASOK,401,strongly in favor,great importance,party was completely united,Strongly favors,5,center,6,8,great importance,2,Completely Clear,8,3,7,2,3,9,3,2,3,8,8,3,4,extremely important,6
gr,PASOK,401,in favor,8,1,Strongly favors,5,6,center,7,8,6,3,3,7,4,7,6,5,4,5,4,3,4,3,2,4,2
gr,PASOK,401,strongly in favor,7,party was completely united,Strongly favors,6,center,6,7,8,3,9,6,3,7,1,3,5,2,3,4,7,8,2,1,5,6
gr,PASOK,401,strongly in favor,7,1,6,Strongly favors,center,8,8,great importance,3,6,3,6,8,3,.d,3,.d,3,4,7,3,.d,not important at all,3,7
gr,PASOK,401,in favor,7,party was completely united,6,6,7,7,3,7,2,6,5,5,1,3,4,2,2,2,4,8,2,3,not important at all,3,3
gr,PASOK,401,in favor,7,5,5,5,4,4,5,9,3,6,5,4,6,5,3,4,6,3,3,7,5,3,3,8,5
gr,PASOK,401,strongly in favor,9,2,Strongly favors,5,4,3,6,5,1,Completely Clear,7,2,7,2,1,9,2,strongly supports more rights for ethnic minorities,3,8,5,,3,3,5
gr,PASOK,401,strongly in favor,7,.d,4,6,7,8,2,3,center,2,4,7,5,2,.d,5,.d,.d,4,2,3,4,1,3,6
gr,PASOK,401,strongly in favor,7,party was completely united,Strongly favors,.d,center,7,2,8,4,2,2,5,6,3,.d,5,2,3,3,2,5,4,not important at all,7,Leadership controls party choices
gr,PASOK,401,strongly in favor,8,1,Strongly favors,4,4,4,8,8,2,Completely Clear,8,3,6,2,2,5,2,3,2,8,9,7,2,8,8
gr,PASOK,401,strongly in favor,8,1,Strongly favors,6,4,center,6,8,4,9,8,6,6,5,5,9,5,4,4,8,9,2,1,6,4
gr,ND,402,strongly in favor,8,4,6,6,7,8,6,8,8,6,8,9,9,7,9,9,8,9,8,6,9,1,1,6,7
gr,ND,402,strongly in favor,8,2,6,4,8,8,9,9,7,7,7,7,6,4,6,6,3,7,6,7,8,6,2,8,8
gr,ND,402,strongly in favor,9,2,Strongly favors,Strongly favors,6,9,9,9,4,3,3,7,4,2,5,4,,6,6,4,,2,2,3,8
gr,ND,402,strongly in favor,8,party was completely united,6,.d,8,extreme right,Completely Clear,great importance,8,5,3,8,7,7,.d,9,6,8,8,8,8,2,7,extremely important,Leadership controls party choices
gr,ND,402,strongly in favor,9,2,Strongly favors,6,7,7,8,8,8,7,7,8,6,4,8,5,4,6,6,6,6,2,2,4,2
gr,ND,402,strongly in favor,7,1,6,6,,8,8,9,7,6,7,6,6,3,6,6,6,6,7,6,6,1,not important at all,6,7
gr,ND,402,strongly in favor,8,2,Strongly favors,Strongly favors,8,9,8,great importance,3,6,6,8,8,5,8,5,8,3,7,6,4,.d,not important at all,2,8
gr,ND,402,strongly in favor,great importance,party was completely united,5,5,7,8,7,great importance,8,6,9,7,8,4,8,9,5,3,7,6,9,1,4,extremely important,8
gr,ND,402,in favor,8,1,5,Strongly favors,8,9,8,9,8,9,8,9,3,2,9,4,2,8,9,9,8,Elected officials make decisions,not important at all,6,9
gr,ND,402,in favor,8,4,6,5,7,9,8,7,8,9,2,9,5,3,7,3,4,6,8,8,3,Elected officials make decisions,6,2,9
gr,ND,402,in favor,7,5,5,5,7,7,7,9,center,6,5,6,6,5,6,5,6,5,4,7,5,3,3,8,7
gr,ND,402,strongly in favor,great importance,2,2,Strongly favors,7,extreme right,9,great importance,traditional/authoritarian,2,2,fully supports restrictive immigration policy,2,8,strongly favours assimilation,3,3,9,10,10,10,Elected officials make decisions,1,extremely important,Leadership controls party choices
gr,ND,402,strongly in favor,7,2,3,Strongly favors,8,9,3,7,8,2,7,7,7,,8,9,6,8,8,2,3,4,1,3,7
gr,SYRIZA,403,in favor,6,7,Strongly favors,3,2,2,5,8,1,6,8,2,7,9,2,9,8,1,1,6,9,8,9,8,4
gr,SYRIZA,403,strongly in favor,5,6,Strongly favors,3,2,2,3,3,1,9,9,1,8,party was completely united,2,9,2,2,1,8,9,1,8,extremely important,2
