party,score,orientation,counts,random_state
Social Democratic Party of Germany,0.3474341192787795,Left-wing,1442,18
Pirates,0.4565916398713826,Other,311,18
Christian Democratic Union-Christian Social Union,0.2316433566433566,Right-wing,1144,19
Alliance‘90-Greens,0.1771289537712895,Left-wing,2055,19
The Left,0.3606755126658625,Left-wing,829,19
Alternative for Germany,0.3341232227488152,Right-wing,422,19
Free Democratic Party,0.2107712765957446,Right-wing,1504,19
Party of Democratic Socialism,0.2406311637080868,Left-wing,1014,19
Social Democratic Party of Germany,0.2160458452722063,Left-wing,1745,19
Pirates,0.2824360105913504,Other,1133,19
Christian Democratic Union-Christian Social Union,0.2966183574879227,Right-wing,2070,20
Alliance‘90-Greens,0.3204633204633205,Left-wing,1554,20
The Left,0.4185832566697332,Left-wing,1087,20
Alternative for Germany,0.4325980392156863,Right-wing,816,20
Free Democratic Party,0.2739628040057225,Right-wing,1398,20
Party of Democratic Socialism,0.2826475849731664,Left-wing,559,20
Social Democratic Party of Germany,0.2814814814814815,Left-wing,1215,20
Pirates,0.3302207130730051,Other,1178,20
Christian Democratic Union-Christian Social Union,0.2929487179487179,Right-wing,1560,21
Alliance‘90-Greens,0.2678936605316973,Left-wing,1467,21
The Left,0.4674698795180723,Left-wing,830,21
Alternative for Germany,0.3861517976031957,Right-wing,751,21
Free Democratic Party,0.3294117647058823,Right-wing,1445,21
Party of Democratic Socialism,0.3644366197183099,Left-wing,1136,21
Social Democratic Party of Germany,0.2671651937457512,Left-wing,1471,21
Pirates,0.2272379495026779,Other,1307,21
Christian Democratic Union-Christian Social Union,0.2579564489112227,Right-wing,1194,22
Alliance‘90-Greens,0.2268370607028754,Left-wing,626,22
The Left,0.4628099173553719,Left-wing,1573,22
Alternative for Germany,0.4048723897911833,Right-wing,862,22
Free Democratic Party,0.2871549893842887,Right-wing,1884,22
Party of Democratic Socialism,0.3034410844629823,Left-wing,959,22
Social Democratic Party of Germany,0.2627212389380531,Left-wing,1808,22
Pirates,0.2438524590163934,Other,488,22
Christian Democratic Union-Christian Social Union,0.1998358637669265,Right-wing,2437,23
Alliance‘90-Greens,0.2198357548957675,Left-wing,1583,23
The Left,0.4277699859747546,Left-wing,713,23
Alternative for Germany,0.3261802575107296,Right-wing,466,23
Free Democratic Party,0.2059765208110992,Right-wing,937,23
Party of Democratic Socialism,0.2033057851239669,Left-wing,605,23
Social Democratic Party of Germany,0.2145532370251471,Left-wing,1869,23
Pirates,0.2242547425474254,Other,1476,23
Christian Democratic Union-Christian Social Union,0.3614383137011779,Right-wing,1613,24
Alliance‘90-Greens,0.3051948051948052,Left-wing,1232,24
The Left,0.5716440422322775,Left-wing,1326,24
Alternative for Germany,0.539360872954014,Right-wing,1283,24
Free Democratic Party,0.3441176470588235,Right-wing,1700,24
Party of Democratic Socialism,0.3854166666666667,Left-wing,288,24
Social Democratic Party of Germany,0.3469708890637293,Left-wing,1271,24
Pirates,0.2074139452780229,Other,1133,24
Christian Democratic Union-Christian Social Union,0.3364116094986807,Right-wing,1516,25
Alliance‘90-Greens,0.2801595214356929,Left-wing,2006,25
The Left,0.5018248175182481,Left-wing,548,25
Alternative for Germany,0.4475743348982786,Right-wing,639,25
Free Democratic Party,0.2754521963824289,Right-wing,1935,25
Party of Democratic Socialism,0.3388429752066115,Left-wing,484,25
Social Democratic Party of Germany,0.3634627625716104,Left-wing,1571,25
Pirates,0.4108658743633276,Other,1178,25
Christian Democratic Union-Christian Social Union,0.258575197889182,Right-wing,1137,26
Alliance‘90-Greens,0.25642965204236,Left-wing,1322,26
The Left,0.4701718907987866,Left-wing,989,26
Alternative for Germany,0.4216725559481743,Right-wing,849,26
Free Democratic Party,0.2479298587433024,Right-wing,2053,26
Party of Democratic Socialism,0.2685069008782936,Left-wing,797,26
Social Democratic Party of Germany,0.2450255827174531,Left-wing,1759,26
Pirates,0.25,Other,488,26
Christian Democratic Union-Christian Social Union,0.2279569892473118,Right-wing,1395,27
Alliance‘90-Greens,0.2977134857676154,Left-wing,2143,27
The Left,0.4770158251695554,Left-wing,1327,27
Alternative for Germany,0.5086580086580087,Right-wing,462,27
Free Democratic Party,0.2849462365591398,Right-wing,930,27
Party of Democratic Socialism,0.3376483279395901,Left-wing,927,27
Social Democratic Party of Germany,0.2124798278644432,Left-wing,1859,27
Pirates,0.28125,Other,32,27
Christian Democratic Union-Christian Social Union,0.3240521327014218,Right-wing,1688,28
Alliance‘90-Greens,0.2581055308328036,Left-wing,1573,28
The Left,0.331193838254172,Left-wing,779,28
Alternative for Germany,0.478021978021978,Right-wing,728,28
Free Democratic Party,0.2599660729431722,Right-wing,2358,28
Party of Democratic Socialism,0.2208835341365461,Left-wing,747,28
Social Democratic Party of Germany,0.2988095238095238,Left-wing,840,28
Pirates,0.3936451897616946,Other,1133,28
Christian Democratic Union-Christian Social Union,0.306499701848539,Right-wing,1677,29
Alliance‘90-Greens,0.2265221878224974,Left-wing,1938,29
The Left,0.4809286898839137,Left-wing,1206,29
Alternative for Germany,0.466321243523316,Right-wing,772,29
Free Democratic Party,0.3032855939342881,Right-wing,1187,29
Party of Democratic Socialism,0.2353801169590643,Left-wing,684,29
Social Democratic Party of Germany,0.2440816326530612,Left-wing,1225,29
Pirates,0.2338842975206611,Other,1210,29
Christian Democratic Union-Christian Social Union,0.2533692722371967,Right-wing,1484,30
Alliance‘90-Greens,0.2244444444444444,Left-wing,1800,30
The Left,0.3626865671641791,Left-wing,670,30
Alternative for Germany,0.5598650927487352,Right-wing,593,30
Free Democratic Party,0.2256993835941204,Right-wing,2109,30
Party of Democratic Socialism,0.3598673300165838,Left-wing,603,30
Social Democratic Party of Germany,0.2286567164179104,Left-wing,1675,30
Pirates,0.2962025316455696,Other,395,30
Christian Democratic Union-Christian Social Union,0.3237674760853569,Right-wing,1359,31
Alliance‘90-Greens,0.3575268817204301,Left-wing,1860,31
The Left,0.4803991446899501,Left-wing,1403,31
Alternative for Germany,0.5128805620608899,Right-wing,854,31
Free Democratic Party,0.32287954383464,Right-wing,1403,31
Party of Democratic Socialism,0.2906309751434034,Left-wing,523,31
Social Democratic Party of Germany,0.3563829787234042,Left-wing,1504,31
Pirates,0.3545081967213114,Other,488,31
Christian Democratic Union-Christian Social Union,0.2913866829566279,Right-wing,1637,32
Alliance‘90-Greens,0.2212230215827338,Left-wing,1112,32
The Left,0.3909348441926346,Left-wing,706,32
Alternative for Germany,0.5156102175969726,Right-wing,1057,32
Free Democratic Party,0.4180651530108588,Right-wing,2026,32
Party of Democratic Socialism,0.3636363636363636,Left-wing,1023,32
Social Democratic Party of Germany,0.2734375,Left-wing,1152,32
Pirates,0.2383053839364519,Other,1133,32
Christian Democratic Union-Christian Social Union,0.279601406799531,Right-wing,1706,33
Alliance‘90-Greens,0.3056528264132066,Left-wing,1999,33
The Left,0.4544491525423729,Left-wing,944,33
Alternative for Germany,0.5026455026455027,Right-wing,567,33
Free Democratic Party,0.2459016393442623,Right-wing,2074,33
Party of Democratic Socialism,0.2179775280898876,Left-wing,445,33
Social Democratic Party of Germany,0.2975609756097561,Left-wing,1025,33
Pirates,0.3326488706365503,Other,974,33
Christian Democratic Union-Christian Social Union,0.3108484005563282,Right-wing,1438,34
Alliance‘90-Greens,0.2990033222591362,Left-wing,2107,34
The Left,0.3836549375709421,Left-wing,881,34
Alternative for Germany,0.4291237113402061,Right-wing,776,34
Free Democratic Party,0.2734426229508196,Right-wing,1525,34
Party of Democratic Socialism,0.2922636103151863,Left-wing,349,34
Social Democratic Party of Germany,0.2698706099815157,Left-wing,1623,34
Pirates,0.2546689303904924,Other,1178,34
Christian Democratic Union-Christian Social Union,0.1996268656716417,Right-wing,2144,35
Alliance‘90-Greens,0.1836115326251896,Left-wing,1318,35
The Left,0.3626373626373626,Left-wing,819,35
Alternative for Germany,0.439453125,Right-wing,512,35
Free Democratic Party,0.2081117021276596,Right-wing,1504,35
Party of Democratic Socialism,0.4248704663212435,Left-wing,579,35
Social Democratic Party of Germany,0.2070732957457714,Left-wing,1951,35
Pirates,0.2047872340425532,Other,752,35
Christian Democratic Union-Christian Social Union,0.3090753424657534,Right-wing,1168,36
Alliance‘90-Greens,0.2569870483980913,Left-wing,1467,36
The Left,0.5188770571151985,Left-wing,1033,36
Alternative for Germany,0.527007299270073,Right-wing,685,36
Free Democratic Party,0.314369995785925,Right-wing,2373,36
Party of Democratic Socialism,0.4412470023980815,Left-wing,417,36
Social Democratic Party of Germany,0.321328081035453,Left-wing,1777,36
Pirates,0.4363636363636363,Other,440,36
Christian Democratic Union-Christian Social Union,0.3498817966903073,Right-wing,1692,37
Alliance‘90-Greens,0.4147018030513176,Left-wing,721,37
The Left,0.5161943319838057,Left-wing,494,37
Alternative for Germany,0.4866310160427807,Right-wing,561,37
Free Democratic Party,0.2957264957264957,Right-wing,1755,37
Party of Democratic Socialism,0.2742663656884876,Left-wing,886,37
Social Democratic Party of Germany,0.292271479011377,Left-wing,2549,37
Pirates,0.2328767123287671,Other,1314,37
Christian Democratic Union-Christian Social Union,0.2527121888959796,Right-wing,1567,38
Alliance‘90-Greens,0.2346711259754738,Left-wing,1794,38
The Left,0.4721030042918455,Left-wing,466,38
Alternative for Germany,0.4557640750670241,Right-wing,373,38
Free Democratic Party,0.226910454758556,Right-wing,2133,38
Party of Democratic Socialism,0.2510760401721664,Left-wing,697,38
Social Democratic Party of Germany,0.2297847585805701,Left-wing,1719,38
Pirates,0.3013833992094861,Other,1012,38
Christian Democratic Union-Christian Social Union,0.2431539187913125,Right-wing,2118,39
Alliance‘90-Greens,0.2722710163111669,Left-wing,1594,39
The Left,0.3915492957746478,Left-wing,1420,39
Alternative for Germany,0.5112994350282486,Right-wing,708,39
Free Democratic Party,0.23841059602649,Right-wing,1359,39
Party of Democratic Socialism,0.2384769539078156,Left-wing,499,39
Social Democratic Party of Germany,0.2082239720034995,Left-wing,1143,39
Pirates,0.2322946175637393,Other,706,39
Christian Democratic Union-Christian Social Union,0.2477797513321492,Right-wing,2252,40
Alliance‘90-Greens,0.3287153652392947,Left-wing,1588,40
The Left,0.3956204379562044,Left-wing,685,40
Alternative for Germany,0.4834437086092715,Right-wing,302,40
Free Democratic Party,0.2637906647807638,Right-wing,1414,40
Party of Democratic Socialism,0.2049861495844875,Left-wing,722,40
Social Democratic Party of Germany,0.2058823529411764,Left-wing,1700,40
Pirates,0.2557781201848998,Other,1298,40
Christian Democratic Union-Christian Social Union,0.3264822134387352,Right-wing,2530,41
Alliance‘90-Greens,0.3091666666666666,Left-wing,1200,41
The Left,0.4927536231884058,Left-wing,1173,41
Alternative for Germany,0.4183006535947712,Right-wing,612,41
Free Democratic Party,0.2899728997289973,Right-wing,1107,41
Party of Democratic Socialism,0.2753456221198156,Left-wing,868,41
Social Democratic Party of Germany,0.3678571428571429,Left-wing,1120,41
Pirates,0.3821138211382114,Other,1476,41
Christian Democratic Union-Christian Social Union,0.2532956685499058,Right-wing,1062,42
Alliance‘90-Greens,0.2054292002934702,Left-wing,1363,42
The Left,0.4169776119402985,Left-wing,1072,42
Alternative for Germany,0.3360128617363344,Right-wing,622,42
Free Democratic Party,0.228544776119403,Right-wing,2144,42
Party of Democratic Socialism,0.3983228511530398,Left-wing,477,42
Social Democratic Party of Germany,0.2187165775401069,Left-wing,1870,42
Pirates,0.1964769647696476,Other,1476,42
Christian Democratic Union-Christian Social Union,0.3194539249146758,Right-wing,1465,43
Alliance‘90-Greens,0.2460481099656357,Left-wing,1455,43
The Left,0.510989010989011,Left-wing,546,43
Alternative for Germany,0.4852941176470588,Right-wing,612,43
Free Democratic Party,0.2844297207761476,Right-wing,2113,43
Party of Democratic Socialism,0.2060301507537688,Left-wing,796,43
Social Democratic Party of Germany,0.2421441774491682,Left-wing,1623,43
Pirates,0.3794037940379404,Other,1476,43
Christian Democratic Union-Christian Social Union,0.2675461741424802,Right-wing,1895,44
Alliance‘90-Greens,0.2993854258121159,Left-wing,2278,44
The Left,0.5432098765432098,Left-wing,810,44
Alternative for Germany,0.4390934844192634,Right-wing,353,44
Free Democratic Party,0.1874172185430463,Right-wing,1510,44
Party of Democratic Socialism,0.2283044058744993,Left-wing,749,44
Social Democratic Party of Germany,0.2440884820747521,Left-wing,1311,44
Pirates,0.5307377049180327,Other,488,44
Christian Democratic Union-Christian Social Union,0.1837837837837838,Right-wing,1665,45
Alliance‘90-Greens,0.1184210526315789,Left-wing,1368,45
The Left,0.311235170969993,Left-wing,1433,45
Alternative for Germany,0.3159268929503916,Right-wing,383,45
Free Democratic Party,0.1635267520723436,Right-wing,1327,45
Party of Democratic Socialism,0.1761467889908257,Left-wing,545,45
Social Democratic Party of Germany,0.2237986270022883,Left-wing,2185,45
Pirates,0.2069672131147541,Other,488,45
Christian Democratic Union-Christian Social Union,0.2432432432432432,Right-wing,2664,46
Alliance‘90-Greens,0.2062305295950156,Left-wing,1605,46
The Left,0.3662940670679278,Left-wing,1163,46
Alternative for Germany,0.4066901408450704,Right-wing,568,46
Free Democratic Party,0.2273641851106639,Right-wing,994,46
Party of Democratic Socialism,0.2892307692307692,Left-wing,650,46
Social Democratic Party of Germany,0.1915113871635611,Left-wing,966,46
Pirates,0.2513550135501355,Other,1476,46
Christian Democratic Union-Christian Social Union,0.2669762042948346,Right-wing,1723,47
Alliance‘90-Greens,0.2612270714737508,Left-wing,1581,47
The Left,0.4274047186932849,Left-wing,1102,47
Alternative for Germany,0.3738601823708207,Right-wing,329,47
Free Democratic Party,0.2869523350987,Right-wing,2077,47
Party of Democratic Socialism,0.2560386473429952,Left-wing,414,47
Social Democratic Party of Germany,0.2448469706433479,Left-wing,1601,47
Pirates,0.2872340425531915,Other,752,47
Christian Democratic Union-Christian Social Union,0.3257971014492754,Right-wing,1725,48
Alliance‘90-Greens,0.2608695652173913,Left-wing,1794,48
The Left,0.3713450292397661,Left-wing,342,48
Alternative for Germany,0.5335892514395394,Right-wing,1563,48
Free Democratic Party,0.2419627749576988,Right-wing,1182,48
Party of Democratic Socialism,0.234074074074074,Left-wing,675,48
Social Democratic Party of Germany,0.2119160460392687,Left-wing,1477,48
Pirates,0.2362525458248472,Other,982,48
Christian Democratic Union-Christian Social Union,0.347244094488189,Right-wing,1270,49
Alliance‘90-Greens,0.2593726090283091,Left-wing,1307,49
The Left,0.4900398406374502,Left-wing,1004,49
Alternative for Germany,0.3801652892561983,Right-wing,363,49
