party,score,orientation,counts,random_state
SVP,0.5,Left-wing,4,7
PaP,0.5822784810126582,Left-wing,79,7
European Democracy,0.2846715328467153,Other,137,7
SEL,0.3426966292134831,Left-wing,178,7
UDC,0.2705882352941176,Other,85,7
PdL,0.3844155844155844,Right-wing,385,7
Italy of Values,0.3200398803589232,Other,1003,7
Forward Italy,0.3213429256594724,Right-wing,417,7
Houses of Freedom,0.1963386727688787,Right-wing,2185,7
Casapound,0.2678571428571428,Right-wing,56,7
Autonomy Liberty Participation Ecology,0.0319148936170212,Other,94,8
Civic Choice,0.0,Left-wing,241,8
M5S,0.6686531585220501,Other,839,8
LeU,0.3076923076923077,Left-wing,13,8
Communist Refoundation Party,0.1619047619047619,Left-wing,105,8
PD,0.3842592592592592,Left-wing,216,8
Civil Revolution,0.3523316062176165,Left-wing,386,8
Northern League,0.35,Right-wing,120,8
The Olive Tree,0.2598425196850393,Left-wing,127,8
Labour and Freedom List,0.2287234042553191,Right-wing,188,8
The Union,0.0,Left-wing,4,8
Democratic Center,0.6521739130434783,Other,23,8
Brothers of Italy,0.8461538461538461,Right-wing,13,8
SVP,0.2482758620689655,Left-wing,145,8
European Democracy,0.1428571428571428,Other,14,8
SEL,0.1384615384615384,Left-wing,65,8
UDC,0.1710526315789473,Other,152,8
PaP,0.3834196891191709,Left-wing,193,8
PdL,0.4184100418410041,Right-wing,478,8
Italy of Values,0.2697841726618705,Other,278,8
Forward Italy,0.2083333333333333,Right-wing,24,8
Houses of Freedom,0.330625507717303,Right-wing,1231,8
Casapound,0.1966426858513189,Right-wing,417,8
Autonomy Liberty Participation Ecology,0.0636604774535809,Other,377,9
Civic Choice,0.0672268907563025,Left-wing,238,9
M5S,0.0928571428571428,Other,140,9
LeU,0.072289156626506,Left-wing,83,9
Communist Refoundation Party,0.3009259259259259,Left-wing,216,9
PD,0.0718954248366013,Left-wing,153,9
Civil Revolution,0.0043290043290043,Left-wing,231,9
Northern League,0.6198630136986302,Right-wing,292,9
The Olive Tree,0.1153846153846153,Left-wing,130,9
European Democracy,0.5,Other,6,9
Labour and Freedom List,0.5833333333333334,Right-wing,12,9
The Union,0.0909090909090909,Left-wing,11,9
Democratic Center,0.3142857142857143,Other,35,9
Brothers of Italy,0.8064516129032258,Right-wing,31,9
SVP,0.0169491525423728,Left-wing,59,9
SEL,0.1204188481675392,Left-wing,191,9
UDC,0.054858934169279,Other,638,9
PaP,0.75,Left-wing,8,9
PdL,0.230899830220713,Right-wing,589,9
Italy of Values,0.1504854368932038,Other,618,9
Forward Italy,0.1175059952038369,Right-wing,417,9
Houses of Freedom,0.102127659574468,Right-wing,705,9
Casapound,0.391304347826087,Right-wing,391,9
Democratic Center,0.2258064516129032,Other,31,0
Brothers of Italy,0.6041666666666666,Right-wing,144,0
Labour and Freedom List,0.3007518796992481,Right-wing,133,0
LeU,0.1578947368421052,Left-wing,76,0
M5S,0.7779433681073026,Other,671,0
The Union,0.5,Left-wing,10,0
PD,0.1322314049586777,Left-wing,484,0
Civil Revolution,0.0,Left-wing,2,0
SEL,0.2982456140350877,Left-wing,228,0
Autonomy Liberty Participation Ecology,0.3957845433255269,Other,427,0
PaP,0.3106796116504854,Left-wing,103,0
UDC,0.0897009966777408,Other,301,0
Northern League,0.34375,Right-wing,32,0
SVP,0.2644628099173554,Left-wing,121,0
The Olive Tree,0.0,Left-wing,21,0
Civic Choice,0.05,Left-wing,80,0
Communist Refoundation Party,0.1538461538461538,Left-wing,78,0
European Democracy,0.125,Other,8,0
Casapound,0.1034482758620689,Right-wing,232,0
Houses of Freedom,0.2888540031397174,Right-wing,637,0
Forward Italy,0.3539445628997867,Right-wing,469,0
PdL,0.2429906542056074,Right-wing,214,0
Italy of Values,0.2703349282296651,Other,836,0
Democratic Center,0.219298245614035,Other,114,1
Brothers of Italy,0.273542600896861,Right-wing,223,1
Labour and Freedom List,0.0,Right-wing,5,1
LeU,0.0955315870570107,Left-wing,649,1
M5S,0.6076696165191741,Other,339,1
The Union,0.1466666666666666,Left-wing,150,1
PD,0.2068965517241379,Left-wing,232,1
Civil Revolution,0.180327868852459,Left-wing,61,1
SEL,0.287037037037037,Left-wing,108,1
Autonomy Liberty Participation Ecology,0.2857142857142857,Other,7,1
PaP,0.4632352941176471,Left-wing,136,1
UDC,0.3055555555555556,Other,252,1
Northern League,0.7757009345794392,Right-wing,214,1
SVP,0.8333333333333334,Left-wing,6,1
The Olive Tree,0.2307692307692307,Left-wing,52,1
Civic Choice,0.1375,Left-wing,400,1
Communist Refoundation Party,0.6,Left-wing,5,1
European Democracy,0.3870967741935484,Other,31,1
Casapound,0.3908045977011494,Right-wing,87,1
Houses of Freedom,0.2027397260273972,Right-wing,365,1
Forward Italy,0.1177777777777777,Right-wing,450,1
PdL,0.2417355371900826,Right-wing,484,1
Italy of Values,0.2508436445444319,Other,889,1
Democratic Center,0.7142857142857143,Other,7,2
Brothers of Italy,0.6305418719211823,Right-wing,203,2
Labour and Freedom List,0.3106060606060606,Right-wing,132,2
M5S,0.52,Other,100,2
The Union,0.284313725490196,Left-wing,102,2
LeU,0.1764705882352941,Left-wing,17,2
PD,0.2424242424242424,Left-wing,231,2
Civil Revolution,0.3125,Left-wing,16,2
Autonomy Liberty Participation Ecology,0.4409448818897638,Other,127,2
PaP,0.3,Left-wing,10,2
SVP,0.1487179487179487,Left-wing,390,2
UDC,0.3479729729729729,Other,296,2
Northern League,0.416243654822335,Right-wing,197,2
The Olive Tree,0.3263157894736842,Left-wing,95,2
Civic Choice,0.2781456953642384,Left-wing,151,2
Communist Refoundation Party,0.75,Left-wing,8,2
European Democracy,0.117252931323283,Other,597,2
Casapound,0.2971246006389776,Right-wing,626,2
Houses of Freedom,0.4848484848484848,Right-wing,627,2
Forward Italy,0.3954372623574144,Right-wing,263,2
PdL,0.2432432432432432,Right-wing,185,2
Italy of Values,0.1118793211816467,Other,1591,2
Democratic Center,0.3348623853211009,Other,218,3
Brothers of Italy,0.3888888888888889,Right-wing,216,3
Labour and Freedom List,0.2677165354330709,Right-wing,127,3
The Union,0.1308562197092084,Left-wing,619,3
M5S,0.8878205128205128,Other,312,3
LeU,0.4242424242424242,Left-wing,66,3
Civil Revolution,0.1570247933884297,Left-wing,121,3
PD,0.1548117154811715,Left-wing,239,3
SEL,0.2183098591549295,Left-wing,142,3
Autonomy Liberty Participation Ecology,0.3380281690140845,Other,71,3
PaP,0.3703703703703703,Left-wing,54,3
UDC,0.2925170068027211,Other,147,3
Northern League,0.5848214285714286,Right-wing,224,3
SVP,0.4347826086956521,Left-wing,69,3
The Olive Tree,0.25,Left-wing,20,3
Civic Choice,0.36,Left-wing,50,3
Communist Refoundation Party,0.0952380952380952,Left-wing,21,3
European Democracy,0.2727272727272727,Other,154,3
Casapound,0.0789473684210526,Right-wing,38,3
Houses of Freedom,0.1923076923076923,Right-wing,26,3
Forward Italy,0.4904942965779467,Right-wing,263,3
PdL,0.2701492537313433,Right-wing,670,3
Italy of Values,0.376357056694813,Other,1658,3
Democratic Center,0.0546021840873634,Other,641,4
Brothers of Italy,0.5491071428571429,Right-wing,224,4
Labour and Freedom List,0.6923076923076923,Right-wing,13,4
LeU,0.0573770491803278,Left-wing,122,4
M5S,0.308411214953271,Other,107,4
The Union,0.0408163265306122,Left-wing,49,4
PD,0.0719844357976653,Left-wing,514,4
Civil Revolution,0.0420560747663551,Left-wing,214,4
SEL,0.0916666666666666,Left-wing,120,4
Autonomy Liberty Participation Ecology,0.0444444444444444,Other,90,4
PaP,0.5555555555555556,Left-wing,9,4
UDC,0.1619718309859155,Other,142,4
Northern League,0.7231270358306189,Right-wing,307,4
SVP,0.1538461538461538,Left-wing,26,4
The Olive Tree,0.0285714285714285,Left-wing,70,4
Civic Choice,0.0632911392405063,Left-wing,79,4
Communist Refoundation Party,0.02,Left-wing,50,4
European Democracy,0.1527777777777778,Other,72,4
Casapound,0.5166240409207161,Right-wing,391,4
Houses of Freedom,0.1060498220640569,Right-wing,1405,4
Forward Italy,0.1485623003194888,Right-wing,626,4
PdL,0.1088082901554404,Right-wing,193,4
Italy of Values,0.4553571428571428,Other,112,4
Democratic Center,0.4,Other,60,5
Brothers of Italy,0.6883116883116883,Right-wing,77,5
Labour and Freedom List,0.0,Right-wing,12,5
The Union,0.6153846153846154,Left-wing,65,5
M5S,0.4024390243902439,Other,82,5
LeU,0.0642201834862385,Left-wing,109,5
PD,0.2768166089965398,Left-wing,867,5
Civil Revolution,0.3644067796610169,Left-wing,118,5
SEL,0.5,Left-wing,8,5
Autonomy Liberty Participation Ecology,0.0,Other,5,5
PaP,0.6627906976744186,Left-wing,86,5
UDC,0.1374045801526717,Other,131,5
Northern League,0.639080459770115,Right-wing,435,5
SVP,0.055,Left-wing,200,5
The Olive Tree,0.150375939849624,Left-wing,133,5
Civic Choice,0.6716417910447762,Left-wing,67,5
Communist Refoundation Party,0.0,Left-wing,8,5
European Democracy,0.4714285714285714,Other,70,5
Casapound,0.974514563106796,Right-wing,824,5
Houses of Freedom,0.2920634920634921,Right-wing,945,5
Forward Italy,0.4822222222222222,Right-wing,450,5
PdL,0.2598870056497175,Right-wing,708,5
Italy of Values,0.5386416861826698,Other,854,5
Democratic Center,0.0952380952380952,Other,63,6
Brothers of Italy,0.9252336448598132,Right-wing,214,6
Labour and Freedom List,0.2845528455284553,Right-wing,123,6
The Union,0.0625,Left-wing,64,6
M5S,0.6500802568218299,Other,623,6
LeU,0.3333333333333333,Left-wing,6,6
PD,0.2974683544303797,Left-wing,158,6
Civil Revolution,0.2333333333333333,Left-wing,60,6
SEL,0.135593220338983,Left-wing,118,6
Autonomy Liberty Participation Ecology,0.2857142857142857,Other,420,6
PaP,0.0,Left-wing,2,6
SVP,0.3058823529411765,Left-wing,85,6
Northern League,0.4921630094043887,Right-wing,319,6
UDC,0.1715976331360946,Other,338,6
The Olive Tree,0.3,Left-wing,20,6
Civic Choice,0.0804597701149425,Left-wing,87,6
Communist Refoundation Party,0.0080321285140562,Left-wing,249,6
European Democracy,0.1659192825112107,Other,223,6
Casapound,0.0863309352517985,Right-wing,278,6
Houses of Freedom,0.536,Right-wing,125,6
Forward Italy,0.3370786516853932,Right-wing,178,6
PdL,0.3143564356435643,Right-wing,808,6
Italy of Values,0.0916030534351145,Other,262,6
Democratic Center,0.6521739130434783,Other,23,7
Brothers of Italy,0.6223776223776224,Right-wing,143,7
Labour and Freedom List,0.112,Right-wing,125,7
M5S,0.5061728395061729,Other,81,7
The Union,0.0769230769230769,Left-wing,208,7
LeU,0.2030075187969924,Left-wing,133,7
PD,0.2186379928315412,Left-wing,279,7
Civil Revolution,0.2704918032786885,Left-wing,122,7
SEL,0.1996753246753246,Left-wing,616,7
Autonomy Liberty Participation Ecology,0.3474576271186441,Other,236,7
PaP,0.5384615384615384,Left-wing,13,7
UDC,0.3846153846153846,Other,104,7
Northern League,0.6714285714285714,Right-wing,140,7
SVP,0.4107142857142857,Left-wing,56,7
The Olive Tree,0.3048780487804878,Left-wing,246,7
Civic Choice,0.3448275862068966,Left-wing,29,7
Communist Refoundation Party,0.25,Left-wing,4,7
European Democracy,0.6056338028169014,Other,71,7
Casapound,0.4797507788161994,Right-wing,321,7
Houses of Freedom,0.3920265780730897,Right-wing,301,7
Forward Italy,0.4052757793764988,Right-wing,417,7
PdL,0.3397129186602871,Right-wing,1045,7
Italy of Values,0.2979651162790697,Other,1376,7
Democratic Center,0.086038961038961,Other,616,8
Brothers of Italy,0.7835051546391752,Right-wing,194,8
Labour and Freedom List,0.1466666666666666,Right-wing,75,8
M5S,0.31,Other,200,8
LeU,0.1454545454545454,Left-wing,55,8
The Union,0.2727272727272727,Left-wing,11,8
PD,0.1662011173184357,Left-wing,716,8
Civil Revolution,0.3636363636363636,Left-wing,11,8
SEL,0.2272727272727272,Left-wing,22,8
Autonomy Liberty Participation Ecology,0.0625,Other,80,8
PaP,0.2923076923076923,Left-wing,65,8
UDC,0.2129629629629629,Other,216,8
Northern League,0.3487179487179487,Right-wing,195,8
SVP,0.0909090909090909,Left-wing,11,8
The Olive Tree,0.1956521739130435,Left-wing,138,8
Civic Choice,0.371900826446281,Left-wing,121,8
Communist Refoundation Party,0.0972222222222222,Left-wing,144,8
European Democracy,0.0,Other,19,8
Casapound,0.0964797913950456,Right-wing,767,8
Houses of Freedom,0.1829268292682926,Right-wing,656,8
Forward Italy,0.0909090909090909,Right-wing,11,8
PdL,0.0143027413587604,Right-wing,839,8
Italy of Values,0.1442006269592476,Other,319,8
Democratic Center,0.1276595744680851,Other,141,9
Brothers of Italy,0.3636363636363636,Right-wing,11,9
Labour and Freedom List,0.1818181818181818,Right-wing,11,9
LeU,0.0422535211267605,Left-wing,213,9
The Union,0.0833333333333333,Left-wing,36,9
M5S,0.2837837837837837,Other,74,9
PD,0.1894273127753304,Left-wing,227,9
Civil Revolution,0.116504854368932,Left-wing,206,9
SEL,0.4035087719298245,Left-wing,57,9
Autonomy Liberty Participation Ecology,0.3511111111111111,Other,225,9
PaP,0.9882352941176472,Left-wing,255,9
SVP,0.52,Left-wing,50,9
Northern League,0.7316715542521994,Right-wing,682,9
UDC,0.3168316831683168,Other,101,9
The Olive Tree,0.3333333333333333,Left-wing,3,9
Civic Choice,0.2456140350877192,Left-wing,57,9
Communist Refoundation Party,0.2442748091603053,Left-wing,131,9
European Democracy,0.2248062015503876,Other,129,9
Casapound,0.5589225589225589,Right-wing,297,9
Houses of Freedom,0.1709039548022599,Right-wing,708,9
Forward Italy,0.4008620689655172,Right-wing,232,9
PdL,0.1356993736951983,Right-wing,479,9
Italy of Values,0.4710104914411927,Other,1811,9
Democratic Center,0.6019900497512438,Other,201,10
Brothers of Italy,0.4316546762589928,Right-wing,139,10
Labour and Freedom List,0.0504201680672268,Right-wing,119,10
The Union,0.0962962962962963,Left-wing,135,10
LeU,0.109090909090909,Left-wing,220,10
M5S,0.717391304347826,Other,138,10
Civil Revolution,0.1983471074380165,Left-wing,121,10
PD,0.4141791044776119,Left-wing,268,10
SEL,0.0454545454545454,Left-wing,22,10
Autonomy Liberty Participation Ecology,0.0287081339712918,Other,209,10
PaP,0.746268656716418,Left-wing,67,10
UDC,0.3465703971119133,Other,277,10
Northern League,0.6723768736616702,Right-wing,467,10
SVP,0.3,Left-wing,180,10
The Olive Tree,0.5783132530120482,Left-wing,83,10
Civic Choice,0.4545454545454545,Left-wing,11,10
Communist Refoundation Party,0.0,Left-wing,9,10
European Democracy,0.4,Other,145,10
Casapound,0.6347363328495405,Right-wing,2067,10
Houses of Freedom,0.5124223602484472,Right-wing,322,10
Forward Italy,0.5296610169491526,Right-wing,236,10
PdL,0.0512820512820512,Right-wing,39,10
Italy of Values,0.4761904761904761,Other,189,10
Democratic Center,0.4761904761904761,Other,21,11
Brothers of Italy,0.490566037735849,Right-wing,53,11
Labour and Freedom List,0.2857142857142857,Right-wing,105,11
The Union,0.1273291925465838,Left-wing,644,11
LeU,0.3333333333333333,Left-wing,24,11
M5S,0.6201550387596899,Other,129,11
PD,0.2247191011235955,Left-wing,534,11
Civil Revolution,0.4285714285714285,Left-wing,7,11
SEL,0.4603174603174603,Left-wing,63,11
Autonomy Liberty Participation Ecology,0.2307692307692307,Other,52,11
PaP,0.3732394366197183,Left-wing,142,11
UDC,0.1576470588235294,Other,425,11
Northern League,0.5108359133126935,Right-wing,323,11
SVP,0.0823529411764705,Left-wing,85,11
The Olive Tree,0.375,Left-wing,16,11
Civic Choice,0.8888888888888888,Left-wing,9,11
Communist Refoundation Party,0.2857142857142857,Left-wing,70,11
European Democracy,0.4285714285714285,Other,7,11
Casapound,0.4496402877697841,Right-wing,278,11
Houses of Freedom,0.3459915611814346,Right-wing,474,11
Forward Italy,0.3674418604651163,Right-wing,215,11
PdL,0.4559491371480472,Right-wing,1101,11
Italy of Values,0.4501779359430605,Other,1124,11
Democratic Center,0.2857142857142857,Other,7,12
Brothers of Italy,0.9068627450980392,Right-wing,204,12
Labour and Freedom List,0.188235294117647,Right-wing,85,12
M5S,0.2766798418972332,Other,253,12
The Union,0.0769230769230769,Left-wing,130,12
LeU,0.4230769230769231,Left-wing,26,12
Civil Revolution,0.1239669421487603,Left-wing,121,12
PD,0.1493775933609958,Left-wing,482,12
SEL,0.1044776119402985,Left-wing,67,12
Autonomy Liberty Participation Ecology,0.2116788321167883,Other,137,12
PaP,0.7218045112781954,Left-wing,133,12
SVP,0.1118012422360248,Left-wing,644,12
Northern League,0.1184210526315789,Right-wing,76,12
UDC,0.0606060606060606,Other,132,12
The Olive Tree,0.2204724409448819,Left-wing,127,12
Civic Choice,0.0,Left-wing,6,12
Communist Refoundation Party,0.215,Left-wing,200,12
European Democracy,0.0,Other,250,12
Casapound,0.0950570342205323,Right-wing,263,12
Houses of Freedom,0.1681159420289855,Right-wing,345,12
Forward Italy,0.196629213483146,Right-wing,178,12
PdL,0.1733615221987315,Right-wing,473,12
Italy of Values,0.5753228120516499,Other,697,12
Democratic Center,0.2432432432432432,Other,148,13
Brothers of Italy,0.4897959183673469,Right-wing,49,13
Labour and Freedom List,0.256544502617801,Right-wing,191,13
The Union,0.2063492063492063,Left-wing,126,13
M5S,0.5,Other,98,13
LeU,0.376,Left-wing,125,13
Civil Revolution,0.3,Left-wing,70,13
PD,0.115079365079365,Left-wing,756,13
SEL,0.4166666666666667,Left-wing,12,13
Autonomy Liberty Participation Ecology,0.2,Other,15,13
PaP,0.6756756756756757,Left-wing,74,13
UDC,0.0995260663507109,Other,211,13
Northern League,0.5773584905660377,Right-wing,265,13
SVP,0.1666666666666666,Left-wing,6,13
The Olive Tree,0.0707070707070707,Left-wing,99,13
Civic Choice,0.1801801801801801,Left-wing,222,13
Communist Refoundation Party,0.282051282051282,Left-wing,78,13
European Democracy,0.3629032258064516,Other,124,13
Casapound,0.425287356321839,Right-wing,87,13
Houses of Freedom,0.1864904552129221,Right-wing,2043,13
Forward Italy,0.2198275862068965,Right-wing,232,13
PdL,0.2142857142857142,Right-wing,126,13
Italy of Values,0.0619785458879618,Other,839,13
Democratic Center,0.2597402597402597,Other,77,14
Brothers of Italy,0.5521739130434783,Right-wing,230,14
Labour and Freedom List,0.5,Right-wing,4,14
LeU,0.2026359143327842,Left-wing,607,14
The Union,0.0,Left-wing,10,14
M5S,0.7302631578947368,Other,152,14
PD,0.168560606060606,Left-wing,528,14
Civil Revolution,0.3333333333333333,Left-wing,6,14
SEL,0.5,Left-wing,8,14
Autonomy Liberty Participation Ecology,0.2105263157894736,Other,19,14
PaP,0.5238095238095238,Left-wing,147,14
UDC,0.1666666666666666,Other,222,14
Northern League,0.5657894736842105,Right-wing,76,14
SVP,0.2,Left-wing,10,14
The Olive Tree,0.3174603174603174,Left-wing,126,14
Civic Choice,0.4098360655737705,Left-wing,61,14
Communist Refoundation Party,0.4,Left-wing,130,14
European Democracy,0.2,Other,15,14
Casapound,0.3810741687979539,Right-wing,391,14
Houses of Freedom,0.3252080856123662,Right-wing,1682,14
Forward Italy,0.164073550212164,Right-wing,707,14
PdL,0.4176470588235294,Right-wing,510,14
Italy of Values,0.3828775267538644,Other,841,14
Democratic Center,0.0656934306569343,Other,137,15
Brothers of Italy,0.2214285714285714,Right-wing,140,15
Labour and Freedom List,0.2083333333333333,Right-wing,24,15
M5S,0.8095238095238095,Other,210,15
