party,score,orientation,counts,random_state
The Greens,0.4486404833836858,Left-wing,1324,6
Debout la France,0.3156028368794326,Right-wing,282,6
Nouveau Parti Anticapitaliste,0.50390625,Left-wing,256,6
French Communist Party,0.4212328767123288,Left-wing,292,6
Resistons,0.3901639344262295,Left-wing,305,6
Union of Democrats and Independents,0.1541218637992831,Right-wing,279,7
Socialist Party,0.2114093959731543,Left-wing,298,7
Left Radical Party,0.2521008403361344,Left-wing,357,7
Centrist Alliance,0.2672413793103448,Other,116,7
Indomitable France,0.8,Left-wing,80,7
New Centre,0.2987012987012987,Other,77,7
Democratic Mouvement,0.1948051948051948,Right-wing,308,7
Left Front,0.1836734693877551,Left-wing,245,7
Radical Party,0.1604938271604938,Right-wing,81,7
Republic Onwards!,0.2,Other,300,7
Union for a Popular Movement,0.3575418994413408,Right-wing,358,7
National Front,0.3620689655172414,Right-wing,232,7
The Greens,0.2070226773957571,Left-wing,1367,7
Debout la France,0.2773972602739726,Right-wing,292,7
Nouveau Parti Anticapitaliste,0.280806572068708,Left-wing,1339,7
French Communist Party,0.2458233890214797,Left-wing,419,7
Resistons,0.189873417721519,Left-wing,79,7
Union of Democrats and Independents,0.1875,Right-wing,80,8
Socialist Party,0.3354430379746835,Left-wing,316,8
Left Radical Party,0.2608695652173913,Left-wing,92,8
Centrist Alliance,0.2992125984251969,Other,254,8
Indomitable France,0.1632653061224489,Left-wing,147,8
New Centre,0.1464019851116625,Other,403,8
Democratic Mouvement,0.2191435768261964,Right-wing,397,8
Left Front,0.2467532467532467,Left-wing,77,8
Radical Party,0.2763157894736842,Right-wing,76,8
Republic Onwards!,0.247787610619469,Other,113,8
Union for a Popular Movement,0.1990950226244343,Right-wing,442,8
National Front,0.4964028776978417,Right-wing,278,8
The Greens,0.2809076682316119,Left-wing,1278,8
Debout la France,0.267454350161117,Right-wing,931,8
Nouveau Parti Anticapitaliste,0.2490752157829839,Left-wing,811,8
French Communist Party,0.3454038997214484,Left-wing,359,8
Resistons,0.1934426229508196,Left-wing,305,8
Socialist Party,0.195906432748538,Left-wing,342,9
Union of Democrats and Independents,0.1851851851851851,Right-wing,27,9
Left Radical Party,0.2289855072463768,Left-wing,345,9
Centrist Alliance,0.0952380952380952,Other,105,9
Indomitable France,0.3173652694610778,Left-wing,167,9
New Centre,0.1666666666666666,Other,66,9
Democratic Mouvement,0.2142857142857142,Right-wing,448,9
Left Front,0.2028985507246377,Left-wing,138,9
Radical Party,0.2178217821782178,Right-wing,101,9
Republic Onwards!,0.266497461928934,Other,394,9
Union for a Popular Movement,0.1826625386996904,Right-wing,323,9
National Front,0.4666666666666667,Right-wing,465,9
The Greens,0.2406462585034013,Left-wing,1176,9
Debout la France,0.2694300518134715,Right-wing,193,9
Nouveau Parti Anticapitaliste,0.3085106382978723,Left-wing,282,9
French Communist Party,0.2438238453276047,Left-wing,931,9
Resistons,0.3085106382978723,Left-wing,282,9
Republic Onwards!,0.1724137931034483,Other,116,0
Indomitable France,0.2516129032258064,Left-wing,155,0
Radical Party,0.1538461538461538,Right-wing,26,0
New Centre,0.0909090909090909,Other,55,0
Union of Democrats and Independents,0.1111111111111111,Right-wing,81,0
Union for a Popular Movement,0.2755775577557756,Right-wing,606,0
Socialist Party,0.2300242130750605,Left-wing,413,0
National Front,0.506631299734748,Right-wing,377,0
Left Front,0.234375,Left-wing,192,0
Centrist Alliance,0.1568627450980392,Other,102,0
Left Radical Party,0.2330827067669172,Left-wing,133,0
Democratic Mouvement,0.2048611111111111,Right-wing,288,0
French Communist Party,0.2701475595913734,Left-wing,881,0
Resistons,0.1787916152897657,Left-wing,811,0
Nouveau Parti Anticapitaliste,0.3054892601431981,Left-wing,419,0
The Greens,0.2293798916315472,Left-wing,1661,0
Debout la France,0.2664756446991404,Right-wing,349,0
Republic Onwards!,0.3285714285714285,Other,70,1
Radical Party,0.3588709677419355,Right-wing,248,1
Indomitable France,0.3805309734513274,Left-wing,113,1
New Centre,0.3866666666666666,Other,75,1
Union of Democrats and Independents,0.5217391304347826,Right-wing,23,1
Union for a Popular Movement,0.303030303030303,Right-wing,297,1
Socialist Party,0.3300589390962672,Left-wing,509,1
National Front,0.5836065573770491,Right-wing,610,1
Left Front,0.38125,Left-wing,160,1
Centrist Alliance,0.2755102040816326,Other,98,1
Left Radical Party,0.3307692307692307,Left-wing,260,1
Democratic Mouvement,0.3452188006482982,Right-wing,617,1
French Communist Party,0.3191489361702128,Left-wing,282,1
Resistons,0.3225152129817444,Left-wing,493,1
Nouveau Parti Anticapitaliste,0.3191489361702128,Left-wing,282,1
The Greens,0.3231763619575254,Left-wing,1083,1
Debout la France,0.3212435233160621,Right-wing,193,1
Republic Onwards!,0.1917293233082706,Other,266,2
Radical Party,0.1343283582089552,Right-wing,67,2
Indomitable France,0.5797101449275363,Left-wing,69,2
New Centre,0.1670480549199084,Other,437,2
Union of Democrats and Independents,0.0897435897435897,Right-wing,78,2
Union for a Popular Movement,0.1673306772908366,Right-wing,251,2
Socialist Party,0.1687116564417178,Left-wing,326,2
National Front,0.4735729386892177,Right-wing,473,2
Left Front,0.0519480519480519,Left-wing,77,2
Centrist Alliance,0.144578313253012,Other,166,2
Left Radical Party,0.1694915254237288,Left-wing,177,2
Democratic Mouvement,0.116822429906542,Right-wing,428,2
French Communist Party,0.1648,Left-wing,625,2
Resistons,0.1813842482100238,Left-wing,419,2
Nouveau Parti Anticapitaliste,0.339041095890411,Left-wing,292,2
The Greens,0.2519480519480519,Left-wing,770,2
Debout la France,0.1491464510332434,Right-wing,1113,2
Republic Onwards!,0.2954545454545454,Other,176,3
Radical Party,0.173076923076923,Right-wing,104,3
Indomitable France,0.4827586206896552,Left-wing,87,3
New Centre,0.2828282828282828,Other,99,3
Union of Democrats and Independents,0.2318840579710145,Right-wing,69,3
Union for a Popular Movement,0.2448979591836734,Right-wing,294,3
National Front,0.5332348596750369,Right-wing,677,3
Socialist Party,0.2952380952380952,Left-wing,105,3
Left Front,0.2341772151898734,Left-wing,158,3
Centrist Alliance,0.1184210526315789,Other,152,3
Left Radical Party,0.1783625730994152,Left-wing,342,3
Democratic Mouvement,0.1645569620253164,Right-wing,316,3
French Communist Party,0.2624,Left-wing,625,3
Resistons,0.2959427207637231,Left-wing,419,3
Nouveau Parti Anticapitaliste,0.3203883495145631,Left-wing,1339,3
The Greens,0.3271604938271605,Left-wing,810,3
Debout la France,0.3575832305795314,Right-wing,811,3
Republic Onwards!,0.1764705882352941,Other,357,4
Indomitable France,0.3924050632911392,Left-wing,237,4
Radical Party,0.2,Right-wing,120,4
New Centre,0.1842105263157894,Other,190,4
Union of Democrats and Independents,0.2270531400966183,Right-wing,414,4
Union for a Popular Movement,0.1799307958477508,Right-wing,289,4
Socialist Party,0.1747787610619469,Left-wing,452,4
National Front,0.4156626506024096,Right-wing,498,4
Left Front,0.1954022988505747,Left-wing,87,4
Centrist Alliance,0.1829268292682926,Other,82,4
Left Radical Party,0.1204188481675392,Left-wing,191,4
Democratic Mouvement,0.2230215827338129,Right-wing,139,4
French Communist Party,0.1467505241090146,Left-wing,477,4
Resistons,0.273972602739726,Left-wing,292,4
Nouveau Parti Anticapitaliste,0.1205673758865248,Left-wing,282,4
The Greens,0.1836027713625866,Left-wing,866,4
Debout la France,0.2751004016064257,Right-wing,498,4
Republic Onwards!,0.2098214285714285,Other,224,5
Indomitable France,0.5460122699386503,Left-wing,163,5
New Centre,0.3032786885245901,Other,122,5
Union of Democrats and Independents,0.1797752808988764,Right-wing,89,5
Union for a Popular Movement,0.2329749103942652,Right-wing,558,5
National Front,0.5,Right-wing,544,5
Socialist Party,0.215625,Left-wing,320,5
Left Radical Party,0.225,Left-wing,80,5
Left Front,0.2697368421052631,Left-wing,152,5
Radical Party,0.3293172690763052,Right-wing,249,5
Centrist Alliance,0.2698412698412698,Other,63,5
Democratic Mouvement,0.2850241545893719,Right-wing,207,5
French Communist Party,0.2375886524822695,Left-wing,282,5
Resistons,0.2515212981744422,Left-wing,493,5
Nouveau Parti Anticapitaliste,0.270440251572327,Left-wing,477,5
The Greens,0.2953367875647668,Left-wing,772,5
Debout la France,0.2598954443614638,Right-wing,1339,5
Republic Onwards!,0.2569832402234637,Other,179,6
Indomitable France,0.7702702702702703,Left-wing,74,6
New Centre,0.2417582417582417,Other,91,6
Union of Democrats and Independents,0.1046511627906976,Right-wing,86,6
Union for a Popular Movement,0.2853107344632768,Right-wing,354,6
National Front,0.6106870229007634,Right-wing,524,6
Socialist Party,0.2402597402597402,Left-wing,154,6
Left Radical Party,0.3012048192771084,Left-wing,249,6
Left Front,0.323943661971831,Left-wing,71,6
Radical Party,0.2927756653992395,Right-wing,263,6
Centrist Alliance,0.2319587628865979,Other,194,6
Democratic Mouvement,0.3359375,Right-wing,256,6
French Communist Party,0.3552631578947368,Left-wing,228,6
Resistons,0.2494758909853249,Left-wing,477,6
Nouveau Parti Anticapitaliste,0.3656783468104223,Left-wing,1113,6
The Greens,0.4136807817589576,Left-wing,1535,6
Debout la France,0.359828141783029,Right-wing,931,6
Republic Onwards!,0.2421052631578947,Other,95,7
Indomitable France,0.3,Left-wing,90,7
New Centre,0.3103448275862069,Other,29,7
Union of Democrats and Independents,0.1479289940828402,Right-wing,169,7
Union for a Popular Movement,0.2311320754716981,Right-wing,424,7
National Front,0.5620437956204379,Right-wing,411,7
Socialist Party,0.2403846153846154,Left-wing,104,7
Left Radical Party,0.4505494505494505,Left-wing,182,7
Left Front,0.320754716981132,Left-wing,106,7
Radical Party,0.2272727272727272,Right-wing,198,7
Centrist Alliance,0.3248730964467005,Other,394,7
Democratic Mouvement,0.2834467120181406,Right-wing,441,7
French Communist Party,0.2535496957403651,Left-wing,493,7
Resistons,0.2502685284640172,Left-wing,931,7
Nouveau Parti Anticapitaliste,0.232484076433121,Left-wing,314,7
The Greens,0.3116100766703176,Left-wing,1826,7
Debout la France,0.2763157894736842,Right-wing,228,7
Republic Onwards!,0.2201834862385321,Other,109,8
Indomitable France,0.859375,Left-wing,64,8
Centrist Alliance,0.3609958506224066,Other,241,8
New Centre,0.2727272727272727,Other,11,8
Union of Democrats and Independents,0.189873417721519,Right-wing,79,8
Union for a Popular Movement,0.3303964757709251,Right-wing,227,8
National Front,0.521021021021021,Right-wing,666,8
Socialist Party,0.1926605504587156,Left-wing,327,8
Left Front,0.2150537634408602,Left-wing,93,8
Radical Party,0.1897810218978102,Right-wing,137,8
Left Radical Party,0.2374245472837022,Left-wing,497,8
Democratic Mouvement,0.197752808988764,Right-wing,445,8
French Communist Party,0.3253012048192771,Left-wing,498,8
Resistons,0.2934782608695652,Left-wing,92,8
Nouveau Parti Anticapitaliste,0.3404255319148936,Left-wing,235,8
The Greens,0.3646288209606987,Left-wing,1832,8
Debout la France,0.2979452054794521,Right-wing,292,8
Republic Onwards!,0.0833333333333333,Other,84,9
Radical Party,0.0631578947368421,Right-wing,95,9
Indomitable France,0.509090909090909,Left-wing,55,9
New Centre,0.0734463276836158,Other,177,9
Union of Democrats and Independents,0.0987654320987654,Right-wing,162,9
Union for a Popular Movement,0.1133671742808798,Right-wing,591,9
Socialist Party,0.0526315789473684,Left-wing,266,9
National Front,0.375,Right-wing,288,9
Left Front,0.1205673758865248,Left-wing,141,9
Centrist Alliance,0.0758620689655172,Other,145,9
Left Radical Party,0.1235632183908046,Left-wing,348,9
Democratic Mouvement,0.1176470588235294,Right-wing,391,9
French Communist Party,0.105121293800539,Left-wing,1113,9
Resistons,0.1225626740947075,Left-wing,359,9
Nouveau Parti Anticapitaliste,0.156596794081381,Left-wing,811,9
The Greens,0.165680473372781,Left-wing,676,9
Debout la France,0.1847389558232931,Right-wing,498,9
Republic Onwards!,0.5454545454545454,Other,11,10
Indomitable France,0.4068965517241379,Left-wing,145,10
New Centre,0.2424242424242424,Other,33,10
Centrist Alliance,0.3369565217391304,Other,92,10
Union of Democrats and Independents,0.3043478260869565,Right-wing,92,10
Union for a Popular Movement,0.283076923076923,Right-wing,325,10
National Front,0.5479744136460555,Right-wing,469,10
Socialist Party,0.3487031700288184,Left-wing,347,10
Left Front,0.2592592592592592,Left-wing,162,10
Radical Party,0.1780821917808219,Right-wing,73,10
Left Radical Party,0.2671755725190839,Left-wing,131,10
Democratic Mouvement,0.23203026481715,Right-wing,793,10
French Communist Party,0.3815789473684211,Left-wing,228,10
Resistons,0.2863961813842482,Left-wing,419,10
Nouveau Parti Anticapitaliste,0.2704,Left-wing,625,10
The Greens,0.3853325046612803,Left-wing,1609,10
Debout la France,0.3834771886559803,Right-wing,811,10
Republic Onwards!,0.2203389830508474,Other,177,11
Indomitable France,0.3835616438356164,Left-wing,146,11
New Centre,0.2716049382716049,Other,81,11
Centrist Alliance,0.3018867924528302,Other,53,11
Union of Democrats and Independents,0.2413793103448276,Right-wing,87,11
Union for a Popular Movement,0.2824858757062147,Right-wing,177,11
National Front,0.5041459369817579,Right-wing,603,11
Socialist Party,0.311614730878187,Left-wing,353,11
Left Front,0.25,Left-wing,76,11
Radical Party,0.2025316455696202,Right-wing,158,11
Left Radical Party,0.2355072463768115,Left-wing,552,11
Democratic Mouvement,0.2299212598425196,Right-wing,635,11
French Communist Party,0.2468085106382978,Left-wing,235,11
Resistons,0.3527397260273973,Left-wing,292,11
Nouveau Parti Anticapitaliste,0.3684210526315789,Left-wing,228,11
The Greens,0.2661498708010336,Left-wing,1161,11
Debout la France,0.2423398328690807,Right-wing,359,11
Republic Onwards!,0.3636363636363636,Other,11,12
Indomitable France,0.6923076923076923,Left-wing,78,12
Centrist Alliance,0.1386138613861386,Other,101,12
New Centre,0.1428571428571428,Other,63,12
Union of Democrats and Independents,0.1538461538461538,Right-wing,117,12
Union for a Popular Movement,0.1982300884955752,Right-wing,565,12
National Front,0.49906191369606,Right-wing,533,12
Socialist Party,0.2113636363636363,Left-wing,440,12
Left Front,0.1666666666666666,Left-wing,168,12
Radical Party,0.1666666666666666,Right-wing,72,12
Left Radical Party,0.1857923497267759,Left-wing,183,12
Democratic Mouvement,0.2066115702479339,Right-wing,363,12
French Communist Party,0.2051557465091299,Left-wing,931,12
Resistons,0.2042553191489361,Left-wing,235,12
Nouveau Parti Anticapitaliste,0.358695652173913,Left-wing,92,12
The Greens,0.225523295070898,Left-wing,1481,12
Debout la France,0.1577752553916004,Right-wing,881,12
Republic Onwards!,0.150197628458498,Other,253,13
Indomitable France,0.5084745762711864,Left-wing,59,13
New Centre,0.18,Other,100,13
Union of Democrats and Independents,0.1717791411042944,Right-wing,163,13
Union for a Popular Movement,0.2087912087912088,Right-wing,273,13
Socialist Party,0.2122370936902485,Left-wing,523,13
National Front,0.5294117647058824,Right-wing,442,13
Left Radical Party,0.253012048192771,Left-wing,83,13
Left Front,0.1527777777777778,Left-wing,72,13
Radical Party,0.1317365269461078,Right-wing,334,13
Centrist Alliance,0.2253521126760563,Other,142,13
Democratic Mouvement,0.2591093117408907,Right-wing,247,13
French Communist Party,0.2529832935560859,Left-wing,419,13
Resistons,0.2924791086350975,Left-wing,359,13
Nouveau Parti Anticapitaliste,0.3313253012048193,Left-wing,498,13
The Greens,0.2047286405158516,Left-wing,1861,13
Debout la France,0.1886409736308316,Right-wing,493,13
Republic Onwards!,0.2142857142857142,Other,14,14
Radical Party,0.1529411764705882,Right-wing,170,14
Indomitable France,0.4137931034482758,Left-wing,174,14
New Centre,0.1975308641975308,Other,405,14
Union of Democrats and Independents,0.2,Right-wing,25,14
Union for a Popular Movement,0.1763527054108216,Right-wing,499,14
Socialist Party,0.185595567867036,Left-wing,361,14
National Front,0.4602649006622517,Right-wing,302,14
Left Front,0.2473867595818815,Left-wing,287,14
Centrist Alliance,0.1470588235294117,Other,68,14
Left Radical Party,0.1857707509881423,Left-wing,253,14
Democratic Mouvement,0.1823899371069182,Right-wing,159,14
French Communist Party,0.2054794520547945,Left-wing,292,14
Resistons,0.5567375886524822,Left-wing,282,14
Nouveau Parti Anticapitaliste,0.1672131147540983,Left-wing,305,14
The Greens,0.2024677509814918,Left-wing,1783,14
Debout la France,0.2656072644721907,Right-wing,881,14
Republic Onwards!,0.1899109792284866,Other,337,15
Indomitable France,0.5652173913043478,Left-wing,92,15
Radical Party,0.0526315789473684,Right-wing,19,15
New Centre,0.2054455445544554,Other,404,15
Union of Democrats and Independents,0.1071428571428571,Right-wing,28,15
Union for a Popular Movement,0.2707838479809976,Right-wing,421,15
Socialist Party,0.131004366812227,Left-wing,229,15
National Front,0.4223744292237443,Right-wing,438,15
Left Front,0.1097560975609756,Left-wing,82,15
Centrist Alliance,0.2347826086956521,Other,115,15
Left Radical Party,0.1591836734693877,Left-wing,245,15
Democratic Mouvement,0.1693363844393592,Right-wing,437,15
French Communist Party,0.6226415094339622,Left-wing,477,15
Resistons,0.3082191780821918,Left-wing,292,15
Nouveau Parti Anticapitaliste,0.1812577065351418,Left-wing,811,15
The Greens,0.227342549923195,Left-wing,651,15
Debout la France,0.2247446083995459,Right-wing,881,15
Republic Onwards!,0.140625,Other,128,16
Indomitable France,0.4473684210526316,Left-wing,114,16
New Centre,0.3294117647058823,Other,85,16
Centrist Alliance,0.2321428571428571,Other,56,16
Union of Democrats and Independents,0.3291139240506329,Right-wing,79,16
Union for a Popular Movement,0.217391304347826,Right-wing,253,16
National Front,0.3679245283018867,Right-wing,318,16
Socialist Party,0.1880108991825613,Left-wing,367,16
Left Front,0.131578947368421,Left-wing,76,16
Radical Party,0.1789473684210526,Right-wing,95,16
Left Radical Party,0.1983298538622129,Left-wing,479,16
Democratic Mouvement,0.2119205298013245,Right-wing,453,16
French Communist Party,0.6226415094339622,Left-wing,477,16
Resistons,0.1525423728813559,Left-wing,236,16
Nouveau Parti Anticapitaliste,0.2902066486972147,Left-wing,1113,16
The Greens,0.2291774443869632,Left-wing,1933,16
Debout la France,0.1586345381526104,Right-wing,498,16
Republic Onwards!,0.2456140350877192,Other,57,17
Indomitable France,0.6044568245125348,Left-wing,359,17
New Centre,0.2292993630573248,Other,157,17
Centrist Alliance,0.5,Other,8,17
Union of Democrats and Independents,0.2041522491349481,Right-wing,289,17
Union for a Popular Movement,0.2275449101796407,Right-wing,167,17
Socialist Party,0.2108036890645586,Left-wing,759,17
National Front,0.503968253968254,Right-wing,252,17
Left Front,0.2727272727272727,Left-wing,88,17
Radical Party,0.180722891566265,Right-wing,83,17
Left Radical Party,0.2267441860465116,Left-wing,172,17
Democratic Mouvement,0.2129436325678496,Right-wing,479,17
French Communist Party,0.37890625,Left-wing,256,17
Resistons,0.2535496957403651,Left-wing,493,17
Nouveau Parti Anticapitaliste,0.2431865828092243,Left-wing,477,17
The Greens,0.279136690647482,Left-wing,1390,17
Debout la France,0.2577565632458234,Right-wing,419,17
Republic Onwards!,0.1666666666666666,Other,24,18
Indomitable France,0.6527777777777778,Left-wing,72,18
New Centre,0.1428571428571428,Other,98,18
Union of Democrats and Independents,0.1542857142857142,Right-wing,175,18
Union for a Popular Movement,0.1298299845440494,Right-wing,647,18
Socialist Party,0.1418092909535452,Left-wing,409,18
National Front,0.3753213367609254,Right-wing,389,18
Left Radical Party,0.2169811320754717,Left-wing,212,18
Left Front,0.0679611650485436,Left-wing,103,18
Radical Party,0.1111111111111111,Right-wing,342,18
Centrist Alliance,0.1463414634146341,Other,82,18
Democratic Mouvement,0.1195652173913043,Right-wing,184,18
French Communist Party,0.0964360587002096,Left-wing,477,18
Resistons,0.1643394199785177,Left-wing,931,18
Nouveau Parti Anticapitaliste,0.1611804767309875,Left-wing,881,18
The Greens,0.1445993031358885,Left-wing,1148,18
Debout la France,0.1025641025641025,Right-wing,39,18
Republic Onwards!,0.2378048780487804,Other,164,19
Indomitable France,0.6484848484848484,Left-wing,165,19
New Centre,0.2795275590551181,Other,254,19
Union of Democrats and Independents,0.181159420289855,Right-wing,414,19
Union for a Popular Movement,0.2482993197278911,Right-wing,294,19
Socialist Party,0.1478382147838214,Left-wing,717,19
National Front,0.3992932862190813,Right-wing,283,19
Left Radical Party,0.1951219512195122,Left-wing,164,19
Left Front,0.5333333333333333,Left-wing,150,19
Radical Party,0.34375,Right-wing,32,19
Centrist Alliance,0.304,Other,125,19
Democratic Mouvement,0.3860759493670886,Right-wing,158,19
French Communist Party,0.2180451127819548,Left-wing,931,19
Resistons,0.3114754098360656,Left-wing,305,19
Nouveau Parti Anticapitaliste,0.232,Left-wing,625,19
The Greens,0.2923832923832923,Left-wing,814,19
Debout la France,0.4922279792746113,Right-wing,193,19
Republic Onwards!,0.1777777777777777,Other,405,20
Indomitable France,0.3761467889908257,Left-wing,109,20
New Centre,0.3648648648648648,Other,74,20
Centrist Alliance,0.1304347826086956,Other,23,20
Union of Democrats and Independents,0.2307692307692307,Right-wing,13,20
Union for a Popular Movement,0.1917808219178082,Right-wing,584,20
Socialist Party,0.2040816326530612,Left-wing,294,20
National Front,0.5934426229508196,Right-wing,305,20
Left Front,0.2282608695652173,Left-wing,276,20
Radical Party,0.2430555555555555,Right-wing,144,20
Left Radical Party,0.238095238095238,Left-wing,252,20
Democratic Mouvement,0.2190812720848056,Right-wing,283,20
French Communist Party,0.1977077363896848,Left-wing,349,20
Resistons,0.2771084337349397,Left-wing,498,20
Nouveau Parti Anticapitaliste,0.2577565632458234,Left-wing,419,20
The Greens,0.2505263157894737,Left-wing,1900,20
Debout la France,0.175438596491228,Right-wing,228,20
Republic Onwards!,0.1805555555555555,Other,72,21
Radical Party,0.1,Right-wing,10,21
Indomitable France,0.4714285714285714,Left-wing,70,21
New Centre,0.2803030303030303,Other,132,21
Union of Democrats and Independents,0.4019607843137255,Right-wing,102,21
Union for a Popular Movement,0.2432989690721649,Right-wing,485,21
National Front,0.4831013916500994,Right-wing,503,21
Socialist Party,0.2008547008547008,Left-wing,468,21
Left Front,0.303030303030303,Left-wing,66,21
Centrist Alliance,0.2263157894736842,Other,190,21
Left Radical Party,0.2047244094488189,Left-wing,127,21
