party,year,score,orientation,counts,random_state
Alternative for Germany,2013,0.4216589861751152,Right-wing,434,1
The Left,2017,0.4549763033175355,Left-wing,211,1
Social Democratic Party of Germany,2013,0.4246575342465753,Left-wing,146,1
Alternative for Germany,2017,0.3432203389830508,Right-wing,236,1
Social Democratic Party of Germany,2002,0.4754098360655737,Left-wing,122,1
Party of Democratic Socialism,2005,0.4385382059800664,Left-wing,301,1
Free Democratic Party,2013,0.3505882352941176,Right-wing,425,1
Alliance‘90-Greens,2017,0.2849162011173184,Left-wing,358,1
Alliance‘90-Greens,2013,0.2043795620437956,Left-wing,411,1
Christian Democratic Union-Christian Social Union,2017,0.3741721854304636,Right-wing,302,1
Alliance‘90-Greens,2005,0.3568904593639576,Left-wing,283,1
Christian Democratic Union-Christian Social Union,2005,0.2317073170731707,Right-wing,82,1
Social Democratic Party of Germany,2009,0.1666666666666666,Left-wing,156,1
Free Democratic Party,2009,0.2678571428571428,Right-wing,224,1
Christian Democratic Union-Christian Social Union,2009,0.4285714285714285,Right-wing,14,1
Pirates,2013,0.5066225165562914,Other,2114,1
The Left,2017,0.3933161953727506,Left-wing,389,2
Party of Democratic Socialism,2002,0.3682634730538922,Left-wing,334,2
Alliance‘90-Greens,2009,0.1962025316455696,Left-wing,632,2
Christian Democratic Union-Christian Social Union,2005,0.2357630979498861,Right-wing,878,2
Free Democratic Party,2017,0.3930131004366812,Right-wing,229,2
Social Democratic Party of Germany,2002,0.2320534223706176,Left-wing,599,2
Party of Democratic Socialism,2005,0.2663755458515284,Left-wing,458,2
Alliance‘90-Greens,2002,0.3686006825938566,Left-wing,293,2
Christian Democratic Union-Christian Social Union,2009,0.3667621776504298,Right-wing,349,2
Christian Democratic Union-Christian Social Union,2017,0.2785515320334262,Right-wing,359,2
Free Democratic Party,2002,0.3235294117647059,Right-wing,374,2
Social Democratic Party of Germany,2013,0.3292682926829268,Left-wing,246,2
The Left,2013,0.4155844155844156,Left-wing,231,2
Social Democratic Party of Germany,2017,0.2465437788018433,Left-wing,434,2
Christian Democratic Union-Christian Social Union,2013,0.3333333333333333,Right-wing,123,2
Alliance‘90-Greens,2005,0.3194444444444444,Left-wing,288,2
Free Democratic Party,2005,0.2481389578163771,Right-wing,403,2
Alliance‘90-Greens,2013,0.2334293948126801,Left-wing,347,2
Free Democratic Party,2009,0.2801932367149758,Right-wing,207,2
The Left,2009,0.3333333333333333,Left-wing,93,2
Alternative for Germany,2013,0.4152542372881356,Right-wing,236,2
Alternative for Germany,2017,0.3541666666666667,Right-wing,240,2
Christian Democratic Union-Christian Social Union,2002,0.4090909090909091,Right-wing,132,2
Free Democratic Party,2013,0.427536231884058,Right-wing,138,2
Social Democratic Party of Germany,2009,0.2590163934426229,Left-wing,305,2
Social Democratic Party of Germany,2005,0.2648648648648649,Left-wing,555,2
Alliance‘90-Greens,2017,0.2982456140350877,Left-wing,171,2
Pirates,2013,0.34375,Other,32,2
Alliance‘90-Greens,2005,0.188295165394402,Left-wing,393,3
Social Democratic Party of Germany,2002,0.2362869198312236,Left-wing,474,3
The Left,2013,0.3582089552238806,Left-wing,536,3
Free Democratic Party,2013,0.2983050847457627,Right-wing,295,3
Party of Democratic Socialism,2005,0.3034257748776509,Left-wing,613,3
Christian Democratic Union-Christian Social Union,2002,0.2875143184421534,Right-wing,873,3
Alternative for Germany,2013,0.5141342756183745,Right-wing,566,3
Christian Democratic Union-Christian Social Union,2005,0.1691176470588235,Right-wing,272,3
Free Democratic Party,2017,0.1620879120879121,Right-wing,364,3
Alliance‘90-Greens,2013,0.4870588235294117,Left-wing,425,3
Party of Democratic Socialism,2002,0.3586206896551724,Left-wing,145,3
Social Democratic Party of Germany,2013,0.2705882352941176,Left-wing,255,3
Alternative for Germany,2017,0.4685990338164251,Right-wing,207,3
The Left,2017,0.3655913978494624,Left-wing,372,3
The Left,2009,0.2440944881889764,Left-wing,127,3
Alliance‘90-Greens,2002,0.1764705882352941,Left-wing,357,3
Christian Democratic Union-Christian Social Union,2013,0.3854166666666667,Right-wing,96,3
Christian Democratic Union-Christian Social Union,2017,0.2451612903225806,Right-wing,310,3
Free Democratic Party,2002,0.3231441048034934,Right-wing,229,3
Social Democratic Party of Germany,2017,0.162037037037037,Left-wing,216,3
Alliance‘90-Greens,2017,0.1666666666666666,Left-wing,264,3
Social Democratic Party of Germany,2005,0.24,Left-wing,150,3
Social Democratic Party of Germany,2009,0.15,Left-wing,120,3
Alliance‘90-Greens,2009,0.2158808933002481,Left-wing,403,3
Christian Democratic Union-Christian Social Union,2009,0.12472647702407,Right-wing,457,3
Free Democratic Party,2009,0.3406940063091482,Right-wing,317,3
Free Democratic Party,2005,0.1594202898550724,Right-wing,207,3
Pirates,2013,0.15625,Other,32,3
Free Democratic Party,2005,0.2788104089219331,Right-wing,538,4
Christian Democratic Union-Christian Social Union,2013,0.1720930232558139,Right-wing,215,4
Alliance‘90-Greens,2002,0.1488250652741514,Left-wing,383,4
Alternative for Germany,2017,0.2893890675241157,Right-wing,311,4
Free Democratic Party,2013,0.2555066079295154,Right-wing,908,4
Social Democratic Party of Germany,2009,0.171875,Left-wing,384,4
Christian Democratic Union-Christian Social Union,2005,0.1877828054298642,Right-wing,442,4
Social Democratic Party of Germany,2002,0.0909090909090909,Left-wing,242,4
Party of Democratic Socialism,2005,0.1253481894150417,Left-wing,359,4
Christian Democratic Union-Christian Social Union,2017,0.1715976331360946,Right-wing,338,4
The Left,2013,0.25,Left-wing,412,4
Alliance‘90-Greens,2005,0.2203947368421052,Left-wing,304,4
The Left,2009,0.4389438943894389,Left-wing,606,4
Party of Democratic Socialism,2002,0.2504230118443316,Left-wing,591,4
Alliance‘90-Greens,2017,0.1621621621621621,Left-wing,148,4
Christian Democratic Union-Christian Social Union,2009,0.1194444444444444,Right-wing,360,4
Free Democratic Party,2017,0.2638297872340425,Right-wing,235,4
Alliance‘90-Greens,2013,0.1420612813370473,Left-wing,359,4
Social Democratic Party of Germany,2017,0.1298701298701298,Left-wing,154,4
Free Democratic Party,2002,0.1981351981351981,Right-wing,429,4
Social Democratic Party of Germany,2013,0.1388888888888889,Left-wing,288,4
Alliance‘90-Greens,2009,0.2019230769230769,Left-wing,208,4
Free Democratic Party,2009,0.1271186440677966,Right-wing,118,4
Christian Democratic Union-Christian Social Union,2002,0.0805687203791469,Right-wing,211,4
Social Democratic Party of Germany,2005,0.1339285714285714,Left-wing,224,4
Alternative for Germany,2013,0.2222222222222222,Right-wing,99,4
The Left,2017,0.25,Left-wing,12,4
Pirates,2013,0.1460481099656357,Other,582,4
Christian Democratic Union-Christian Social Union,2002,0.300561797752809,Right-wing,356,5
The Left,2013,0.3723404255319149,Left-wing,376,5
Christian Democratic Union-Christian Social Union,2009,0.3157894736842105,Right-wing,342,5
Social Democratic Party of Germany,2017,0.188195991091314,Left-wing,898,5
Christian Democratic Union-Christian Social Union,2005,0.1766467065868263,Right-wing,334,5
Social Democratic Party of Germany,2002,0.227027027027027,Left-wing,555,5
Alternative for Germany,2017,0.4711538461538461,Right-wing,312,5
Alliance‘90-Greens,2009,0.2682926829268293,Left-wing,451,5
Alliance‘90-Greens,2013,0.2874493927125506,Left-wing,247,5
Party of Democratic Socialism,2005,0.3362068965517241,Left-wing,232,5
Alliance‘90-Greens,2005,0.282051282051282,Left-wing,156,5
Free Democratic Party,2017,0.0881355932203389,Right-wing,590,5
Party of Democratic Socialism,2002,0.2964959568733153,Left-wing,371,5
Christian Democratic Union-Christian Social Union,2017,0.2257217847769028,Right-wing,381,5
Alliance‘90-Greens,2002,0.2935323383084577,Left-wing,201,5
Social Democratic Party of Germany,2005,0.1776315789473684,Left-wing,608,5
Social Democratic Party of Germany,2013,0.3955223880597014,Left-wing,134,5
Alliance‘90-Greens,2017,0.1077981651376146,Left-wing,436,5
Alternative for Germany,2013,0.2980132450331126,Right-wing,151,5
Free Democratic Party,2009,0.384,Right-wing,125,5
The Left,2009,0.3288135593220339,Left-wing,295,5
The Left,2017,0.3682008368200837,Left-wing,239,5
Social Democratic Party of Germany,2009,0.3744186046511628,Left-wing,430,5
Free Democratic Party,2013,0.3990147783251231,Right-wing,203,5
Christian Democratic Union-Christian Social Union,2013,0.1365638766519823,Right-wing,227,5
Free Democratic Party,2002,0.1818181818181818,Right-wing,11,5
Free Democratic Party,2005,0.202020202020202,Right-wing,99,5
Pirates,2013,0.2772073921971252,Other,974,5
Alliance‘90-Greens,2009,0.3696682464454976,Left-wing,211,6
Free Democratic Party,2005,0.1540469973890339,Right-wing,383,6
Christian Democratic Union-Christian Social Union,2005,0.2021857923497267,Right-wing,549,6
Party of Democratic Socialism,2005,0.2134328358208955,Left-wing,670,6
Free Democratic Party,2002,0.4285714285714285,Right-wing,392,6
Alliance‘90-Greens,2017,0.2987012987012987,Left-wing,385,6
Social Democratic Party of Germany,2009,0.2369230769230769,Left-wing,325,6
Free Democratic Party,2017,0.1518324607329843,Right-wing,573,6
Social Democratic Party of Germany,2013,0.3184713375796178,Left-wing,157,6
Free Democratic Party,2009,0.2029312288613303,Right-wing,887,6
Christian Democratic Union-Christian Social Union,2017,0.217391304347826,Right-wing,253,6
Alliance‘90-Greens,2005,0.5504587155963303,Left-wing,218,6
Alternative for Germany,2017,0.475177304964539,Right-wing,423,6
Alliance‘90-Greens,2002,0.3287037037037037,Left-wing,216,6
The Left,2017,0.5989159891598916,Left-wing,369,6
Alliance‘90-Greens,2013,0.3665594855305466,Left-wing,311,6
The Left,2013,0.6424418604651163,Left-wing,344,6
Alternative for Germany,2013,0.4896907216494845,Right-wing,388,6
Christian Democratic Union-Christian Social Union,2009,0.25,Right-wing,300,6
Party of Democratic Socialism,2002,0.2828571428571428,Left-wing,350,6
Christian Democratic Union-Christian Social Union,2002,0.175438596491228,Right-wing,228,6
Free Democratic Party,2013,0.3482587064676617,Right-wing,201,6
Social Democratic Party of Germany,2017,0.2972350230414746,Left-wing,434,6
Christian Democratic Union-Christian Social Union,2013,0.2913385826771653,Right-wing,127,6
Social Democratic Party of Germany,2005,0.2377622377622377,Left-wing,143,6
Social Democratic Party of Germany,2002,0.2222222222222222,Left-wing,90,6
The Left,2009,0.1428571428571428,Left-wing,7,6
Pirates,2013,0.3848101265822785,Other,395,6
Social Democratic Party of Germany,2013,0.1951951951951951,Left-wing,333,7
Alliance‘90-Greens,2013,0.185064935064935,Left-wing,616,7
The Left,2009,0.3034825870646766,Left-wing,402,7
Christian Democratic Union-Christian Social Union,2013,0.1854304635761589,Right-wing,453,7
Social Democratic Party of Germany,2002,0.2264150943396226,Left-wing,212,7
Alliance‘90-Greens,2017,0.2016574585635359,Left-wing,362,7
Christian Democratic Union-Christian Social Union,2002,0.2111368909512761,Right-wing,431,7
Party of Democratic Socialism,2002,0.1666666666666666,Left-wing,138,7
Alternative for Germany,2017,0.3021276595744681,Right-wing,235,7
Party of Democratic Socialism,2005,0.2380396732788798,Left-wing,857,7
Free Democratic Party,2005,0.2,Right-wing,270,7
Free Democratic Party,2002,0.2340036563071298,Right-wing,547,7
Christian Democratic Union-Christian Social Union,2009,0.1951219512195122,Right-wing,369,7
Social Democratic Party of Germany,2017,0.1784511784511784,Left-wing,297,7
Alliance‘90-Greens,2009,0.1885964912280701,Left-wing,228,7
Social Democratic Party of Germany,2005,0.2,Left-wing,395,7
Christian Democratic Union-Christian Social Union,2017,0.1104972375690607,Right-wing,181,7
The Left,2017,0.2572614107883817,Left-wing,241,7
Free Democratic Party,2009,0.1851851851851851,Right-wing,216,7
Free Democratic Party,2013,0.287719298245614,Right-wing,285,7
Alliance‘90-Greens,2005,0.1898454746136865,Left-wing,453,7
Alliance‘90-Greens,2002,0.1563342318059299,Left-wing,371,7
Alternative for Germany,2013,0.4039408866995074,Right-wing,609,7
Christian Democratic Union-Christian Social Union,2005,0.2254901960784313,Right-wing,204,7
Social Democratic Party of Germany,2009,0.1954022988505747,Left-wing,87,7
The Left,2013,0.1596638655462184,Left-wing,119,7
Free Democratic Party,2017,0.2222222222222222,Right-wing,9,7
Pirates,2013,0.2227272727272727,Other,440,7
Party of Democratic Socialism,2005,0.2690763052208835,Left-wing,249,8
Free Democratic Party,2005,0.2093023255813953,Right-wing,387,8
Social Democratic Party of Germany,2005,0.2582159624413145,Left-wing,639,8
Party of Democratic Socialism,2002,0.28719723183391,Left-wing,867,8
Free Democratic Party,2002,0.2279411764705882,Right-wing,408,8
Christian Democratic Union-Christian Social Union,2017,0.2905405405405405,Right-wing,444,8
Social Democratic Party of Germany,2009,0.1978260869565217,Left-wing,460,8
The Left,2017,0.5552631578947368,Left-wing,380,8
The Left,2013,0.2583892617449664,Left-wing,298,8
Alliance‘90-Greens,2009,0.2431192660550458,Left-wing,218,8
Alternative for Germany,2017,0.2805280528052805,Right-wing,303,8
Christian Democratic Union-Christian Social Union,2005,0.2520325203252032,Right-wing,369,8
Christian Democratic Union-Christian Social Union,2013,0.2009803921568627,Right-wing,612,8
Alliance‘90-Greens,2013,0.1959459459459459,Left-wing,148,8
Alternative for Germany,2013,0.2345679012345679,Right-wing,81,8
Free Democratic Party,2013,0.2245508982035928,Right-wing,334,8
The Left,2009,0.3766990291262136,Left-wing,515,8
Free Democratic Party,2017,0.2692307692307692,Right-wing,104,8
Social Democratic Party of Germany,2017,0.2115384615384615,Left-wing,208,8
Christian Democratic Union-Christian Social Union,2009,0.2666666666666666,Right-wing,120,8
Social Democratic Party of Germany,2002,0.2209631728045325,Left-wing,353,8
Alliance‘90-Greens,2002,0.2394366197183098,Left-wing,213,8
Christian Democratic Union-Christian Social Union,2002,0.2640449438202247,Right-wing,178,8
Social Democratic Party of Germany,2013,0.2666666666666666,Left-wing,255,8
Alliance‘90-Greens,2005,0.2511848341232227,Left-wing,211,8
Alliance‘90-Greens,2017,0.3210702341137124,Left-wing,299,8
Free Democratic Party,2009,0.2,Right-wing,10,8
Pirates,2013,0.2557781201848998,Other,1298,8
Social Democratic Party of Germany,2017,0.2398753894080997,Left-wing,321,9
Social Democratic Party of Germany,2009,0.3855421686746988,Left-wing,83,9
Social Democratic Party of Germany,2005,0.2137931034482758,Left-wing,580,9
The Left,2013,0.3381995133819951,Left-wing,411,9
Party of Democratic Socialism,2005,0.2248803827751196,Left-wing,418,9
Alliance‘90-Greens,2005,0.1954022988505747,Left-wing,522,9
Alliance‘90-Greens,2009,0.3069977426636568,Left-wing,443,9
Christian Democratic Union-Christian Social Union,2013,0.1869918699186991,Right-wing,246,9
Free Democratic Party,2017,0.2209856915739268,Right-wing,629,9
Social Democratic Party of Germany,2013,0.2454308093994778,Left-wing,383,9
Alliance‘90-Greens,2002,0.3103448275862069,Left-wing,290,9
Christian Democratic Union-Christian Social Union,2009,0.1955922865013774,Right-wing,363,9
Free Democratic Party,2005,0.1962397179788484,Right-wing,851,9
Free Democratic Party,2013,0.2366412213740458,Right-wing,393,9
Party of Democratic Socialism,2002,0.3486238532110092,Left-wing,218,9
The Left,2009,0.4055555555555555,Left-wing,180,9
Alternative for Germany,2013,0.3781512605042016,Right-wing,119,9
Alternative for Germany,2017,0.3287671232876712,Right-wing,146,9
Christian Democratic Union-Christian Social Union,2002,0.21875,Right-wing,384,9
Alliance‘90-Greens,2013,0.4092827004219409,Left-wing,237,9
Christian Democratic Union-Christian Social Union,2005,0.3626373626373626,Right-wing,182,9
Free Democratic Party,2002,0.2607361963190184,Right-wing,326,9
Social Democratic Party of Germany,2002,0.3041958041958042,Left-wing,286,9
The Left,2017,0.4126984126984127,Left-wing,126,9
Alliance‘90-Greens,2017,0.2638580931263858,Left-wing,451,9
Christian Democratic Union-Christian Social Union,2017,0.2576419213973799,Right-wing,229,9
Free Democratic Party,2009,0.4,Right-wing,10,9
Pirates,2013,0.2327127659574468,Other,752,9
Social Democratic Party of Germany,2009,0.2607879924953096,Left-wing,533,0
Party of Democratic Socialism,2002,0.2382022471910112,Left-wing,890,0
Free Democratic Party,2005,0.2445820433436532,Right-wing,646,0
Christian Democratic Union-Christian Social Union,2005,0.227027027027027,Right-wing,185,0
Social Democratic Party of Germany,2013,0.2379958246346555,Left-wing,479,0
Alternative for Germany,2017,0.6113989637305699,Right-wing,579,0
Alliance‘90-Greens,2002,0.1509433962264151,Left-wing,212,0
Alternative for Germany,2013,0.5663265306122449,Right-wing,392,0
Free Democratic Party,2013,0.2320916905444126,Right-wing,349,0
Christian Democratic Union-Christian Social Union,2017,0.25,Right-wing,360,0
Christian Democratic Union-Christian Social Union,2002,0.194078947368421,Right-wing,304,0
Alliance‘90-Greens,2005,0.3918918918918919,Left-wing,222,0
Christian Democratic Union-Christian Social Union,2009,0.1884422110552764,Right-wing,398,0
Social Democratic Party of Germany,2002,0.1702127659574468,Left-wing,141,0
Free Democratic Party,2009,0.2301790281329923,Right-wing,391,0
Social Democratic Party of Germany,2017,0.1452145214521452,Left-wing,303,0
The Left,2013,0.3132183908045977,Left-wing,348,0
Free Democratic Party,2017,0.2110817941952506,Right-wing,379,0
Party of Democratic Socialism,2005,0.264,Left-wing,250,0
The Left,2009,0.3067226890756303,Left-wing,238,0
Free Democratic Party,2002,0.1893939393939394,Right-wing,264,0
Christian Democratic Union-Christian Social Union,2013,0.2767857142857143,Right-wing,224,0
Alliance‘90-Greens,2009,0.3353658536585366,Left-wing,164,0
Social Democratic Party of Germany,2005,0.3676470588235294,Left-wing,136,0
The Left,2017,0.5348837209302325,Left-wing,86,0
Alliance‘90-Greens,2013,0.1557377049180328,Left-wing,122,0
Alliance‘90-Greens,2017,0.3076923076923077,Left-wing,13,0
Pirates,2013,0.1512491559756921,Other,1481,0
Alliance‘90-Greens,2005,0.2471264367816092,Left-wing,174,1
Free Democratic Party,2013,0.4421052631578947,Right-wing,380,1
Alternative for Germany,2013,0.6032,Right-wing,625,1
Free Democratic Party,2009,0.275,Right-wing,160,1
Social Democratic Party of Germany,2009,0.2528735632183908,Left-wing,87,1
Alliance‘90-Greens,2002,0.4019933554817276,Left-wing,301,1
Alliance‘90-Greens,2017,0.3034055727554179,Left-wing,323,1
Party of Democratic Socialism,2005,0.3590361445783132,Left-wing,415,1
Alliance‘90-Greens,2013,0.2830188679245283,Left-wing,424,1
Free Democratic Party,2017,0.4605263157894737,Right-wing,228,1
The Left,2017,0.5136986301369864,Left-wing,438,1
Alternative for Germany,2017,0.5019607843137255,Right-wing,255,1
Free Democratic Party,2002,0.4055944055944055,Right-wing,429,1
Christian Democratic Union-Christian Social Union,2002,0.2259036144578313,Right-wing,332,1
Free Democratic Party,2005,0.3817567567567567,Right-wing,296,1
Social Democratic Party of Germany,2013,0.2698675496688741,Left-wing,604,1
Christian Democratic Union-Christian Social Union,2013,0.3333333333333333,Right-wing,210,1
Alliance‘90-Greens,2009,0.41,Left-wing,200,1
The Left,2013,0.555956678700361,Left-wing,554,1
The Left,2009,0.4733893557422969,Left-wing,357,1
Christian Democratic Union-Christian Social Union,2017,0.4376731301939058,Right-wing,361,1
Social Democratic Party of Germany,2002,0.3697478991596639,Left-wing,119,1
Social Democratic Party of Germany,2017,0.3055555555555556,Left-wing,144,1
Christian Democratic Union-Christian Social Union,2005,0.3744680851063829,Right-wing,235,1
Social Democratic Party of Germany,2005,0.506578947368421,Left-wing,304,1
Party of Democratic Socialism,2002,0.4056603773584906,Left-wing,212,1
Christian Democratic Union-Christian Social Union,2009,0.3333333333333333,Right-wing,12,1
Pirates,2013,0.5292096219931272,Other,2910,1
The Left,2009,0.513986013986014,Left-wing,572,2
Free Democratic Party,2002,0.4740740740740741,Right-wing,405,2
Alliance‘90-Greens,2005,0.1839378238341968,Left-wing,386,2
Christian Democratic Union-Christian Social Union,2005,0.2544,Right-wing,625,2
Social Democratic Party of Germany,2005,0.1335504885993485,Left-wing,307,2
Social Democratic Party of Germany,2009,0.1685912240184757,Left-wing,433,2
The Left,2017,0.2760180995475113,Left-wing,221,2
Party of Democratic Socialism,2005,0.2174840085287846,Left-wing,469,2
Alliance‘90-Greens,2002,0.1861861861861861,Left-wing,333,2
Christian Democratic Union-Christian Social Union,2002,0.2097902097902098,Right-wing,858,2
Christian Democratic Union-Christian Social Union,2017,0.117391304347826,Right-wing,230,2
Alternative for Germany,2013,0.4450867052023121,Right-wing,346,2
Free Democratic Party,2017,0.3277310924369748,Right-wing,238,2
Social Democratic Party of Germany,2002,0.1890034364261168,Left-wing,291,2
Christian Democratic Union-Christian Social Union,2013,0.1973094170403587,Right-wing,223,2
Party of Democratic Socialism,2002,0.2425742574257425,Left-wing,404,2
Social Democratic Party of Germany,2013,0.1935483870967742,Left-wing,248,2
Social Democratic Party of Germany,2017,0.1752873563218391,Left-wing,348,2
Christian Democratic Union-Christian Social Union,2009,0.3220338983050847,Right-wing,177,2
Alliance‘90-Greens,2017,0.1735537190082644,Left-wing,121,2
Free Democratic Party,2013,0.2111111111111111,Right-wing,360,2
Alliance‘90-Greens,2009,0.2025316455696202,Left-wing,553,2
Alliance‘90-Greens,2013,0.2733812949640288,Left-wing,139,2
Free Democratic Party,2009,0.1851851851851851,Right-wing,135,2
Free Democratic Party,2005,0.1440677966101695,Right-wing,236,2
The Left,2013,0.358695652173913,Left-wing,92,2
Alternative for Germany,2017,0.3,Right-wing,10,2
Pirates,2013,0.2012320328542094,Other,974,2
Alliance‘90-Greens,2017,0.2633371169125993,Left-wing,881,3
Party of Democratic Socialism,2002,0.2243243243243243,Left-wing,370,3
Social Democratic Party of Germany,2013,0.1962025316455696,Left-wing,632,3
Christian Democratic Union-Christian Social Union,2017,0.1481481481481481,Right-wing,216,3
Alternative for Germany,2013,0.5527777777777778,Right-wing,360,3
Free Democratic Party,2013,0.4832535885167464,Right-wing,209,3
Christian Democratic Union-Christian Social Union,2002,0.2450765864332603,Right-wing,457,3
Social Democratic Party of Germany,2009,0.3987730061349693,Left-wing,163,3
Alliance‘90-Greens,2005,0.2077922077922078,Left-wing,385,3
The Left,2009,0.2350230414746544,Left-wing,217,3
Alliance‘90-Greens,2013,0.2318007662835249,Left-wing,522,3
Social Democratic Party of Germany,2017,0.2746913580246913,Left-wing,324,3
Alternative for Germany,2017,0.4666666666666667,Right-wing,360,3
Free Democratic Party,2002,0.2449664429530201,Right-wing,298,3
Party of Democratic Socialism,2005,0.169683257918552,Left-wing,442,3
Christian Democratic Union-Christian Social Union,2013,0.209375,Right-wing,320,3
The Left,2013,0.6163194444444444,Left-wing,576,3
Free Democratic Party,2009,0.1515151515151515,Right-wing,264,3
Alliance‘90-Greens,2009,0.3260869565217391,Left-wing,230,3
Free Democratic Party,2017,0.2269129287598944,Right-wing,379,3
Christian Democratic Union-Christian Social Union,2009,0.3851351351351351,Right-wing,148,3
Christian Democratic Union-Christian Social Union,2005,0.1402877697841726,Right-wing,278,3
The Left,2017,0.6291866028708134,Left-wing,418,3
Free Democratic Party,2005,0.4777777777777778,Right-wing,90,3
Alliance‘90-Greens,2002,0.1725490196078431,Left-wing,255,3
Social Democratic Party of Germany,2002,0.1932773109243697,Left-wing,119,3
Social Democratic Party of Germany,2005,0.4285714285714285,Left-wing,7,3
Pirates,2013,0.1568181818181818,Other,440,3
The Left,2013,0.3940520446096654,Left-wing,538,4
Christian Democratic Union-Christian Social Union,2017,0.3767441860465116,Right-wing,215,4
Alternative for Germany,2013,0.360313315926893,Right-wing,383,4
Social Democratic Party of Germany,2002,0.2958199356913183,Left-wing,311,4
Christian Democratic Union-Christian Social Union,2009,0.302863436123348,Right-wing,908,4
The Left,2009,0.34375,Left-wing,384,4
Free Democratic Party,2005,0.248868778280543,Right-wing,442,4
Christian Democratic Union-Christian Social Union,2002,0.2355371900826446,Right-wing,242,4
Social Democratic Party of Germany,2005,0.2646239554317549,Left-wing,359,4
Free Democratic Party,2009,0.2011834319526627,Right-wing,338,4
Social Democratic Party of Germany,2013,0.2257281553398058,Left-wing,412,4
Free Democratic Party,2013,0.2861842105263157,Right-wing,304,4
Free Democratic Party,2017,0.2557755775577557,Right-wing,606,4
Alliance‘90-Greens,2009,0.2774957698815566,Left-wing,591,4
Alternative for Germany,2017,0.3310810810810811,Right-wing,148,4
Alliance‘90-Greens,2002,0.2555555555555555,Left-wing,360,4
Alliance‘90-Greens,2013,0.2978723404255319,Left-wing,235,4
Christian Democratic Union-Christian Social Union,2013,0.1977715877437326,Right-wing,359,4
Christian Democratic Union-Christian Social Union,2005,0.2532467532467532,Right-wing,154,4
Party of Democratic Socialism,2005,0.31002331002331,Left-wing,429,4
Alliance‘90-Greens,2017,0.2222222222222222,Left-wing,288,4
Party of Democratic Socialism,2002,0.1971153846153846,Left-wing,208,4
Free Democratic Party,2002,0.2542372881355932,Right-wing,118,4
The Left,2017,0.3507109004739336,Left-wing,211,4
Social Democratic Party of Germany,2009,0.2767857142857143,Left-wing,224,4
Social Democratic Party of Germany,2017,0.2727272727272727,Left-wing,99,4
Alliance‘90-Greens,2005,0.1666666666666666,Left-wing,12,4
Pirates,2013,0.2422680412371134,Other,582,4
Christian Democratic Union-Christian Social Union,2009,0.2230971128608924,Right-wing,381,5
Free Democratic Party,2005,0.2259136212624584,Right-wing,301,5
Free Democratic Party,2002,0.1788359788359788,Right-wing,945,5
