party,year,score,orientation,counts,random_state
Party of Freedom,2017.0,0.8571428571428571,Right-wing,7,3
Christian Democratic Appeal,2010.0,0.1578947368421052,Right-wing,19,3
People’s Party for Freedom and Democracy,2012.0,0.2058823529411764,Right-wing,34,3
Green Left,2010.0,0.5641952983725136,Left-wing,553,3
50Plus,2012.0,0.4301255230125523,Other,1195,3
Green Left,2017.0,0.5242718446601942,Left-wing,206,3
Green Left,2002.0,0.4575757575757576,Left-wing,990,3
Party for the Animals,2012.0,0.4181360201511335,Left-wing,1191,3
Reformed Political Party,2002.0,0.1386861313868613,Right-wing,137,3
Green Left,2012.0,0.380039656311963,Left-wing,1513,3
Reformed Political Party,2012.0,0.3454746136865342,Right-wing,1812,3
Reformed Political Party,2006.0,0.4075369075369075,Right-wing,2574,3
Party for the Animals,2010.0,0.3918819188191882,Left-wing,1355,3
Party for the Animals,2006.0,0.3386783284742468,Left-wing,2058,3
Green Left,2006.0,0.4024390243902439,Left-wing,1558,3
Green Left,2003.0,0.3189734188817598,Left-wing,1091,3
50Plus,2017.0,0.3207964601769911,Other,2260,3
Party for the Animals,2017.0,0.1582459485224022,Left-wing,1049,3
Reformed Political Party,2017.0,0.4321311475409836,Right-wing,1525,3
DENK,2017.0,0.4076990376202974,Left-wing,1143,3
Reformed Political Party,2010.0,0.4430379746835443,Right-wing,869,3
Socialist Party,2017.0,0.6198044009779952,Left-wing,818,4
People’s Party for Freedom and Democracy,2002.0,0.5759096612296111,Right-wing,797,4
People’s Party for Freedom and Democracy,2003.0,0.3824817518248175,Right-wing,685,4
Socialist Party,2002.0,0.2125,Left-wing,80,4
Labour Party,2002.0,0.4056603773584906,Left-wing,530,4
Labour Party,2017.0,0.2928082191780822,Left-wing,584,4
Christian Union,2002.0,0.3706666666666666,Other,375,4
Socialist Party,2012.0,0.6076555023923444,Left-wing,1254,4
Party of Freedom,2012.0,0.5280898876404494,Right-wing,267,4
Socialist Party,2003.0,0.4628571428571428,Left-wing,175,4
People’s Party for Freedom and Democracy,2006.0,0.4496644295302013,Right-wing,447,4
Democrats‘66,2003.0,0.5266594124047879,Other,919,4
Christian Democratic Appeal,2006.0,0.3709483793517407,Right-wing,833,4
Forum for Democracy,2017.0,0.5006031363088058,Right-wing,829,4
Socialist Party,2006.0,0.4305084745762711,Left-wing,295,4
List Pim Fortuyn,2003.0,0.60801393728223,Right-wing,574,4
Christian Union,2017.0,0.40875,Other,800,4
People’s Party for Freedom and Democracy,2010.0,0.2828054298642534,Right-wing,442,4
Christian Union,2006.0,0.2734225621414914,Other,523,4
Party of Freedom,2006.0,0.3648648648648648,Right-wing,148,4
People’s Party for Freedom and Democracy,2012.0,0.2521008403361344,Right-wing,119,4
Democrats‘66,2002.0,0.3282442748091603,Other,131,4
Christian Democratic Appeal,2012.0,0.3649851632047478,Right-wing,674,4
Party of Freedom,2010.0,0.5348837209302325,Right-wing,43,4
Christian Democratic Appeal,2002.0,0.4156862745098039,Right-wing,510,4
Party of Freedom,2017.0,0.4668630338733431,Right-wing,679,4
Democrats‘66,2010.0,0.4829157175398633,Other,439,4
Labour Party,2012.0,0.3744493392070485,Left-wing,227,4
Christian Democratic Appeal,2017.0,0.3908450704225352,Right-wing,284,4
Labour Party,2006.0,0.3958333333333333,Left-wing,432,4
Labour Party,2003.0,0.4022346368715084,Left-wing,179,4
Christian Democratic Appeal,2010.0,0.4065934065934066,Right-wing,273,4
Democrats‘66,2017.0,0.1071428571428571,Other,28,4
Christian Union,2010.0,0.2025316455696202,Other,79,4
Christian Union,2012.0,0.5742574257425742,Other,606,4
Democrats‘66,2012.0,0.3636363636363636,Other,11,4
Labour Party,2010.0,0.4,Left-wing,115,4
Democrats‘66,2006.0,0.1034482758620689,Other,29,4
Socialist Party,2010.0,0.4823529411764706,Left-wing,85,4
People’s Party for Freedom and Democracy,2017.0,0.3,Right-wing,10,4
Green Left,2012.0,0.515370705244123,Left-wing,553,4
DENK,2017.0,0.5271966527196653,Left-wing,1195,4
Green Left,2006.0,0.3883495145631068,Left-wing,206,4
Green Left,2010.0,0.4858585858585859,Left-wing,990,4
Party for the Animals,2012.0,0.4567590260285474,Left-wing,1191,4
50Plus,2017.0,0.3065693430656934,Other,137,4
Party for the Animals,2017.0,0.456708526107072,Left-wing,1513,4
Reformed Political Party,2006.0,0.4983443708609271,Right-wing,1812,4
Reformed Political Party,2010.0,0.5423465423465423,Right-wing,2574,4
Reformed Political Party,2002.0,0.4937269372693726,Right-wing,1355,4
Party for the Animals,2010.0,0.5077745383867833,Left-wing,2058,4
50Plus,2012.0,0.4730423620025674,Other,1558,4
Party for the Animals,2006.0,0.461961503208066,Left-wing,1091,4
Reformed Political Party,2012.0,0.5141592920353982,Right-wing,2260,4
Reformed Political Party,2017.0,0.4337464251668255,Right-wing,1049,4
Green Left,2017.0,0.5108196721311475,Left-wing,1525,4
Green Left,2003.0,0.4566929133858268,Left-wing,1143,4
Green Left,2002.0,0.5017261219792866,Left-wing,869,4
Christian Democratic Appeal,2002.0,0.3238095238095238,Right-wing,840,5
Labour Party,2010.0,0.340625,Left-wing,320,5
Democrats‘66,2017.0,0.3731019522776572,Other,461,5
Christian Democratic Appeal,2017.0,0.3524229074889868,Right-wing,681,5
People’s Party for Freedom and Democracy,2010.0,0.3528693528693529,Right-wing,819,5
Democrats‘66,2002.0,0.3611111111111111,Other,504,5
Socialist Party,2012.0,0.4913722267871816,Left-wing,1217,5
Democrats‘66,2012.0,0.3837638376383764,Other,271,5
Socialist Party,2010.0,0.4792013311148086,Left-wing,601,5
People’s Party for Freedom and Democracy,2012.0,0.4515648286140089,Right-wing,671,5
Labour Party,2017.0,0.3567251461988304,Left-wing,684,5
Democrats‘66,2006.0,0.1875,Other,32,5
Party of Freedom,2012.0,0.3933566433566433,Right-wing,572,5
People’s Party for Freedom and Democracy,2017.0,0.315468940316687,Right-wing,821,5
People’s Party for Freedom and Democracy,2003.0,0.3491864831038798,Right-wing,799,5
Socialist Party,2003.0,0.4793926247288503,Left-wing,461,5
Socialist Party,2002.0,0.3585526315789473,Left-wing,304,5
Labour Party,2002.0,0.419838523644752,Left-wing,867,5
Christian Democratic Appeal,2010.0,0.3085106382978723,Right-wing,470,5
Party of Freedom,2006.0,0.5286103542234333,Right-wing,367,5
Labour Party,2012.0,0.4896810506566604,Left-wing,533,5
Democrats‘66,2010.0,0.407673860911271,Other,834,5
Christian Union,2010.0,0.5060869565217392,Other,575,5
Christian Union,2012.0,0.358974358974359,Other,117,5
People’s Party for Freedom and Democracy,2006.0,0.3262548262548262,Right-wing,518,5
Christian Union,2006.0,0.5355191256830601,Other,183,5
People’s Party for Freedom and Democracy,2002.0,0.4097222222222222,Right-wing,432,5
Christian Union,2017.0,0.3364928909952606,Other,211,5
Party of Freedom,2010.0,0.6174863387978142,Right-wing,183,5
List Pim Fortuyn,2003.0,0.3218390804597701,Right-wing,87,5
Christian Democratic Appeal,2012.0,0.087378640776699,Right-wing,103,5
Democrats‘66,2003.0,0.2857142857142857,Other,273,5
Socialist Party,2006.0,0.5984848484848485,Left-wing,132,5
Christian Union,2002.0,0.081081081081081,Other,148,5
Party of Freedom,2017.0,0.1967213114754098,Right-wing,61,5
Forum for Democracy,2017.0,0.3157894736842105,Right-wing,19,5
Christian Democratic Appeal,2006.0,0.3902439024390244,Right-wing,41,5
Labour Party,2006.0,0.0389610389610389,Left-wing,77,5
Socialist Party,2017.0,0.5384615384615384,Left-wing,26,5
Labour Party,2003.0,0.4615384615384615,Left-wing,13,5
Green Left,2003.0,0.5189873417721519,Left-wing,553,5
Green Left,2017.0,0.4359832635983263,Left-wing,1195,5
Reformed Political Party,2010.0,0.4466019417475728,Right-wing,206,5
50Plus,2012.0,0.5040404040404041,Other,990,5
Green Left,2010.0,0.4374475230898405,Left-wing,1191,5
Party for the Animals,2006.0,0.1970802919708029,Left-wing,137,5
Reformed Political Party,2006.0,0.3919365499008592,Right-wing,1513,5
Reformed Political Party,2012.0,0.4310154525386313,Right-wing,1812,5
Party for the Animals,2012.0,0.439005439005439,Left-wing,2574,5
Reformed Political Party,2017.0,0.4464944649446494,Right-wing,1355,5
Party for the Animals,2010.0,0.43488824101069,Left-wing,2058,5
50Plus,2017.0,0.404364569961489,Other,1558,5
Green Left,2006.0,0.4051329055912007,Left-wing,1091,5
Green Left,2012.0,0.493362831858407,Left-wing,2260,5
Reformed Political Party,2002.0,0.2573879885605338,Right-wing,1049,5
Party for the Animals,2017.0,0.4452459016393442,Left-wing,1525,5
Green Left,2002.0,0.3963254593175853,Left-wing,1143,5
DENK,2017.0,0.4672036823935558,Left-wing,869,5
Democrats‘66,2012.0,0.5096296296296297,Other,675,6
Democrats‘66,2006.0,0.5555555555555556,Other,297,6
Democrats‘66,2017.0,0.3415730337078652,Other,445,6
Party of Freedom,2006.0,0.5812133072407045,Right-wing,511,6
Christian Democratic Appeal,2010.0,0.4722921914357683,Right-wing,794,6
Socialist Party,2017.0,0.5152542372881356,Left-wing,590,6
Christian Democratic Appeal,2006.0,0.5085271317829457,Right-wing,645,6
People’s Party for Freedom and Democracy,2017.0,0.4315589353612167,Right-wing,526,6
Socialist Party,2006.0,0.5526315789473685,Left-wing,684,6
Democrats‘66,2002.0,0.2612312811980033,Other,1202,6
People’s Party for Freedom and Democracy,2012.0,0.5448028673835126,Right-wing,279,6
Labour Party,2017.0,0.3173216885007278,Left-wing,687,6
Party of Freedom,2012.0,0.4523809523809524,Right-wing,798,6
People’s Party for Freedom and Democracy,2003.0,0.4050279329608938,Right-wing,358,6
Christian Union,2017.0,0.3974056603773584,Other,848,6
Socialist Party,2003.0,0.6302895322939867,Left-wing,449,6
Labour Party,2002.0,0.3119565217391304,Left-wing,920,6
Forum for Democracy,2017.0,0.6573426573426573,Right-wing,143,6
Christian Union,2002.0,0.4887525562372188,Other,489,6
Labour Party,2010.0,0.5638506876227898,Left-wing,509,6
Democrats‘66,2003.0,0.2822878228782288,Other,542,6
People’s Party for Freedom and Democracy,2010.0,0.3007246376811594,Right-wing,828,6
List Pim Fortuyn,2003.0,0.6336633663366337,Right-wing,202,6
Socialist Party,2002.0,0.4274193548387097,Left-wing,248,6
Christian Democratic Appeal,2002.0,0.1560283687943262,Right-wing,141,6
Party of Freedom,2017.0,0.53125,Right-wing,32,6
People’s Party for Freedom and Democracy,2002.0,0.5722543352601156,Right-wing,173,6
Christian Democratic Appeal,2012.0,0.5260115606936416,Right-wing,173,6
Socialist Party,2010.0,0.8333333333333334,Left-wing,6,6
Christian Union,2012.0,0.441320293398533,Other,818,6
Socialist Party,2012.0,0.4444444444444444,Left-wing,18,6
Christian Union,2006.0,0.2816455696202531,Other,316,6
Labour Party,2012.0,0.0918367346938775,Left-wing,98,6
Democrats‘66,2010.0,0.38125,Other,480,6
Christian Union,2010.0,0.0256410256410256,Other,78,6
Party of Freedom,2010.0,0.425,Right-wing,80,6
Labour Party,2006.0,0.2285714285714285,Left-wing,105,6
Christian Democratic Appeal,2017.0,0.0238095238095238,Right-wing,84,6
Labour Party,2003.0,0.5128205128205128,Left-wing,39,6
People’s Party for Freedom and Democracy,2006.0,0.2222222222222222,Right-wing,18,6
Green Left,2003.0,0.5913200723327305,Left-wing,553,6
Party for the Animals,2017.0,0.4418410041841004,Left-wing,1195,6
50Plus,2012.0,0.529126213592233,Other,206,6
Green Left,2010.0,0.4383838383838384,Left-wing,990,6
Reformed Political Party,2017.0,0.5046179680940386,Right-wing,1191,6
Reformed Political Party,2012.0,0.3722627737226277,Right-wing,137,6
Green Left,2012.0,0.4348975545274289,Left-wing,1513,6
Green Left,2002.0,0.5055187637969095,Left-wing,1812,6
Reformed Political Party,2006.0,0.4937839937839938,Right-wing,2574,6
Green Left,2017.0,0.5040590405904058,Left-wing,1355,6
Green Left,2006.0,0.4927113702623906,Left-wing,2058,6
50Plus,2017.0,0.496790757381258,Other,1558,6
Reformed Political Party,2002.0,0.4665444546287809,Right-wing,1091,6
Party for the Animals,2006.0,0.5367256637168142,Left-wing,2260,6
Party for the Animals,2012.0,0.332697807435653,Left-wing,1049,6
DENK,2017.0,0.4727868852459016,Left-wing,1525,6
Party for the Animals,2010.0,0.4890638670166229,Left-wing,1143,6
Reformed Political Party,2010.0,0.5028768699654775,Right-wing,869,6
Democrats‘66,2002.0,0.2515592515592516,Other,481,7
Forum for Democracy,2017.0,0.4329268292682927,Right-wing,164,7
Socialist Party,2012.0,0.6610738255033557,Left-wing,298,7
Christian Democratic Appeal,2017.0,0.2651072124756335,Right-wing,513,7
Labour Party,2017.0,0.4733727810650887,Left-wing,169,7
Party of Freedom,2012.0,0.540162980209546,Right-wing,859,7
Christian Democratic Appeal,2010.0,0.4818523153942428,Right-wing,799,7
People’s Party for Freedom and Democracy,2002.0,0.4043795620437956,Right-wing,685,7
Democrats‘66,2006.0,0.6486486486486487,Other,74,7
People’s Party for Freedom and Democracy,2006.0,0.3493282149712092,Right-wing,521,7
Democrats‘66,2017.0,0.3157894736842105,Other,589,7
Labour Party,2002.0,0.434640522875817,Left-wing,306,7
Labour Party,2003.0,0.301994301994302,Left-wing,351,7
People’s Party for Freedom and Democracy,2017.0,0.3670212765957447,Right-wing,752,7
Christian Union,2012.0,0.3491879350348028,Other,862,7
Democrats‘66,2012.0,0.3488372093023256,Other,129,7
People’s Party for Freedom and Democracy,2012.0,0.24330900243309,Right-wing,822,7
Socialist Party,2002.0,0.2357723577235772,Left-wing,123,7
List Pim Fortuyn,2003.0,0.5689277899343544,Right-wing,457,7
Labour Party,2012.0,0.3655913978494624,Left-wing,651,7
Christian Union,2010.0,0.486159169550173,Other,578,7
Socialist Party,2017.0,0.5730337078651685,Left-wing,445,7
Party of Freedom,2006.0,0.5,Right-wing,850,7
Christian Union,2017.0,0.2156862745098039,Other,153,7
Christian Democratic Appeal,2002.0,0.576530612244898,Right-wing,196,7
Democrats‘66,2010.0,0.2380281690140845,Other,710,7
Socialist Party,2006.0,0.6204379562043796,Left-wing,274,7
Labour Party,2010.0,0.3190630048465266,Left-wing,1238,7
Party of Freedom,2010.0,0.5400641025641025,Right-wing,624,7
Labour Party,2006.0,0.3027522935779816,Left-wing,436,7
Christian Democratic Appeal,2006.0,0.1627906976744186,Right-wing,86,7
People’s Party for Freedom and Democracy,2010.0,0.4612546125461255,Right-wing,271,7
Socialist Party,2010.0,0.6098901098901099,Left-wing,546,7
Party of Freedom,2017.0,0.2894736842105263,Right-wing,114,7
People’s Party for Freedom and Democracy,2003.0,0.0,Right-wing,26,7
