party,score,orientation,counts,random_state
"Union, Progress and Democracy",0.6650563607085346,Other,621,4
Popular Unity,0.46875,Left-wing,672,4
Spanish Socialist Workers’ Party,0.4823378291586384,Left-wing,4671,4
United Left,0.5903345724907063,Left-wing,1345,4
United We Can,0.875,Left-wing,40,4
Commitment-We can-It is time,0.5676605504587156,Left-wing,872,4
Democratic Convergence of Catalonia,0.7813953488372093,Right-wing,430,4
Citizens,0.5919758959720901,Right-wing,12612,4
We can,0.7523379554982264,Left-wing,3101,5
In Common We Can,0.8432288192128086,Left-wing,2998,5
Democracy and Freedom,0.648,Right-wing,125,5
Compromis,0.0775,Left-wing,800,5
Convergence and Union,0.5960874568469505,Other,869,5
People's Party,0.5518518518518518,Right-wing,2700,5
"Union, Progress and Democracy",0.6167883211678832,Other,548,5
Popular Unity,0.6382978723404256,Left-wing,47,5
Spanish Socialist Workers’ Party,0.4408088235294117,Left-wing,2720,5
United Left,0.5956221198156681,Left-wing,868,5
United We Can,0.8046795523906409,Left-wing,1966,5
Commitment-We can-It is time,0.0716013546202225,Left-wing,2067,5
Democratic Convergence of Catalonia,0.6782319391634981,Right-wing,2104,5
Citizens,0.2404411764705882,Right-wing,5440,5
We can,0.5926544240400667,Left-wing,599,6
In Common We Can,0.5120274914089347,Left-wing,873,6
Democracy and Freedom,0.0622775800711743,Right-wing,562,6
People's Party,0.2433006102414433,Right-wing,3769,6
Compromis,0.2346786248131539,Left-wing,1338,6
Convergence and Union,0.2670262980445044,Other,1483,6
"Union, Progress and Democracy",0.625,Other,72,6
Popular Unity,0.3703703703703703,Left-wing,216,6
Spanish Socialist Workers’ Party,0.2015503875968992,Left-wing,4257,6
United Left,0.2215650591446769,Left-wing,2198,6
United We Can,0.2894572676232065,Left-wing,1603,6
Commitment-We can-It is time,0.6105263157894737,Left-wing,2185,6
Democratic Convergence of Catalonia,0.5844155844155844,Right-wing,154,6
Citizens,0.1555350836787962,Right-wing,6513,6
We can,0.2168949771689497,Left-wing,1314,7
In Common We Can,0.6037037037037037,Left-wing,1080,7
Democracy and Freedom,0.1070110701107011,Right-wing,813,7
Compromis,0.1240875912408759,Left-wing,137,7
People's Party,0.2220272049144361,Right-wing,4558,7
Spanish Socialist Workers’ Party,0.237099761841757,Left-wing,3779,7
"Union, Progress and Democracy",0.1578947368421052,Other,209,7
Popular Unity,0.1003663003663003,Left-wing,1365,7
Convergence and Union,0.1071779744346116,Other,1017,7
United Left,0.2069565217391304,Left-wing,2300,7
United We Can,0.147919876733436,Left-wing,649,7
Commitment-We can-It is time,0.1363636363636363,Left-wing,154,7
Democratic Convergence of Catalonia,0.1990291262135922,Right-wing,206,7
Citizens,0.3199686561316442,Right-wing,7657,7
We can,0.6105054509415263,Left-wing,2018,8
In Common We Can,0.2928870292887029,Left-wing,239,8
Democracy and Freedom,0.3946117274167987,Right-wing,631,8
People's Party,0.3210508358921869,Right-wing,2931,8
Compromis,0.0108564535585042,Left-wing,829,8
Spanish Socialist Workers’ Party,0.3543532783948405,Left-wing,2791,8
"Union, Progress and Democracy",0.3996873371547681,Other,1919,8
Popular Unity,0.6645962732919255,Left-wing,805,8
Convergence and Union,0.4411276948590381,Other,1809,8
United Left,0.306416412047141,Left-wing,2291,8
United We Can,0.3832335329341317,Left-wing,668,8
Commitment-We can-It is time,0.053030303030303,Left-wing,1848,8
Democratic Convergence of Catalonia,0.4736611062335382,Right-wing,2278,8
Citizens,0.2631795716639209,Right-wing,4856,8
We can,0.7731434384537131,Left-wing,983,9
In Common We Can,0.8656934306569343,Left-wing,685,9
Democracy and Freedom,0.011922503725782414,Right-wing,671,9
People's Party,0.010037093606807768,Right-wing,4583,9
Compromis,0.009259259259259259,Left-wing,216,9
Convergence and Union,0.014955134596211365,Other,1003,9
"Union, Progress and Democracy",0.07103825136612021,Other,366,9
Popular Unity,0.007457121551081283,Left-wing,1341,9
Spanish Socialist Workers’ Party,0.5730566919929866,Left-wing,3422,9
United Left,0.25682261208577,Left-wing,2052,9
United We Can,0.013793103448275862,Left-wing,145,9
Commitment-We can-It is time,0.013608428446005268,Left-wing,2278,9
Democratic Convergence of Catalonia,0.019486692015209126,Right-wing,2104,9
Citizens,0.04061181434599156,Right-wing,9480,9
